epoch,train_total,train_depth,train_scale_teacher,train_low1_teacher,train_low2_teacher,train_zero_mean,train_equivariance,train_predicted_residual_mean,train_da3_scale_perturbation_fraction,train_da3_scale_perturbation_abs_log_q,train_da3_scale_perturbation_mean_log_q,train_bim_condition_dropout_fraction,val_abs_rel,val_rmse,val_delta1,val_scale_abs_rel,val_low1_abs_rel,val_scale_log_mae,val_combined_residual_mean_abs,optimizer_steps,skipped_steps,epoch_seconds
1,0.12772180159197438,0.08166779977090431,0.038249658822351235,0.0,0.05210183091162551,0.0050356081087907165,0.003746962798974268,0.0050356081087907165,0.0,0.0,0.0,0.0,0.07705847085484971,0.6798724784463385,0.9380142830913766,0.07773969860710693,0.07773969860710693,0.03855708814284542,0.0050734206125420895,439,0,602.645670240745
2,0.10786489227864227,0.07010963185877883,0.024769246504951256,0.0,0.049062572146435966,0.00667137945891116,0.001722128320083461,0.00667137945891116,0.0,0.0,0.0,0.0,0.06784069115689294,0.6426641858017467,0.941216414452173,0.07106789503740099,0.07106789503740099,0.027185816160535125,0.006484332547844006,878,0,603.8858604272828
3,0.09927481665109703,0.0643457839899275,0.02016415436993377,0.0,0.048018204452707956,0.006761025163508804,0.0016175085794840351,0.006761025163508804,0.0,0.0,0.0,0.0,0.06329058583331908,0.6267244923212545,0.9418187997267512,0.06897718476333253,0.06897718476333253,0.022782357820424932,0.006549994518958952,1317,0,604.3247290328145
4,0.09156234694843506,0.05972648141916291,0.017473886447046092,0.0,0.04470918976387813,0.006143953752686922,0.0012993201963113173,0.006143953752686922,0.0,0.0,0.0,0.0,0.06665477744200016,0.6290363444053398,0.9408795184091755,0.07003345986334814,0.07003345986334814,0.024979030171512793,0.006938246515224918,1756,0,604.0828000130132
5,0.08675241813699025,0.05676743971222148,0.01559989840590943,0.0,0.04294462967159293,0.0059858910837981396,0.001141253268904333,0.0059858910837981396,0.0,0.0,0.0,0.0,0.06324019382469756,0.6246809237349796,0.9422122086935418,0.06939530209751706,0.06939530209751706,0.023637371655448925,0.0067847801138569246,2195,0,604.5351945748553
6,0.08365088626497977,0.05423350930235179,0.01593485530823753,0.0,0.041554900834142164,0.005501549723089362,0.001223438538823151,0.005501549723089362,0.0,0.0,0.0,0.0,0.06322874702400931,0.625223061735315,0.942641909668311,0.06916383419928086,0.06916383419928086,0.02316504736663078,0.006387603471750222,2634,0,605.3065882883966
