epoch,train_total,train_silog,train_normalized_disparity,train_robust_log_depth,train_depth,train_gradient,val_abs_rel,val_rmse,val_mae,val_delta1,val_stage1_abs_rel,val_raw_da3_abs_rel,optimizer_steps,skipped_steps,epoch_seconds,loss_trend_pass,loss_first_window_mean,loss_last_window_mean,loss_relative_decrease
1,1.399362377597139,1.399362377597139,0.0,0.11220727129151362,0.12172245327277025,0.0037425263760652856,0.08564791962528782,0.3057423749385557,0.18283850156945275,0.9258074488626974,0.06763275581357353,0.08903245378067473,439,0,439.12137772049755,True,1.7114753199222426,1.2859188851360317,0.2486488877943885
2,1.167373604932242,1.167373604932242,0.0,0.08356357594373962,0.09293130632432542,0.00379447280807172,0.0840350855428402,0.33360342493345296,0.18655701505318878,0.9195282526096393,0.06763275581357353,0.08903245378067473,878,0,438.61446839012206,,,,
3,2.4444773516320732,2.4444773516320732,0.0,0.24008909795758424,0.24970935032630198,0.0038710525753459994,0.45927437798958715,1.5008346093098988,1.172949332105276,0.1461642813838633,0.06763275581357353,0.08903245378067473,1312,5,433.16171885095537,,,,
