sample_id,room,camera_uuid,all_scale,core_scale,category_match_scale,category_bim_nonedge_scale,category_interior_scale,category_balanced_scale,category_match_q40_scale,category_match_q45_scale,category_match_q50_scale,category_match_q55_scale,category_match_q60_scale,category_match_q65_scale,category_match_q70_scale,category_match_q75_scale,category_match_q80_scale,category_match_q85_scale,all_scale_support,core_scale_support,category_match_scale_support,category_bim_nonedge_scale_support,category_interior_scale_support,category_balanced_available_classes,category_balanced_fallback_to_all,all__scale_all__count,all__scale_all__abs_rel,all__scale_all__mae,all__scale_all__rmse,all__scale_all__delta1,all__scale_core__count,all__scale_core__abs_rel,all__scale_core__mae,all__scale_core__rmse,all__scale_core__delta1,all__scale_category_match__count,all__scale_category_match__abs_rel,all__scale_category_match__mae,all__scale_category_match__rmse,all__scale_category_match__delta1,all__scale_category_match_bim_nonedge__count,all__scale_category_match_bim_nonedge__abs_rel,all__scale_category_match_bim_nonedge__mae,all__scale_category_match_bim_nonedge__rmse,all__scale_category_match_bim_nonedge__delta1,all__scale_category_match_interior__count,all__scale_category_match_interior__abs_rel,all__scale_category_match_interior__mae,all__scale_category_match_interior__rmse,all__scale_category_match_interior__delta1,all__scale_category_balanced__count,all__scale_category_balanced__abs_rel,all__scale_category_balanced__mae,all__scale_category_balanced__rmse,all__scale_category_balanced__delta1,all__scale_category_match_q40__count,all__scale_category_match_q40__abs_rel,all__scale_category_match_q40__mae,all__scale_category_match_q40__rmse,all__scale_category_match_q40__delta1,all__scale_category_match_q45__count,all__scale_category_match_q45__abs_rel,all__scale_category_match_q45__mae,all__scale_category_match_q45__rmse,all__scale_category_match_q45__delta1,all__scale_category_match_q50__count,all__scale_category_match_q50__abs_rel,all__scale_category_match_q50__mae,all__scale_category_match_q50__rmse,all__scale_category_match_q50__delta1,all__scale_category_match_q55__count,all__scale_category_match_q55__abs_rel,all__scale_category_match_q55__mae,all__scale_category_match_q55__rmse,all__scale_category_match_q55__delta1,all__scale_category_match_q60__count,all__scale_category_match_q60__abs_rel,all__scale_category_match_q60__mae,all__scale_category_match_q60__rmse,all__scale_category_match_q60__delta1,all__scale_category_match_q65__count,all__scale_category_match_q65__abs_rel,all__scale_category_match_q65__mae,all__scale_category_match_q65__rmse,all__scale_category_match_q65__delta1,all__scale_category_match_q70__count,all__scale_category_match_q70__abs_rel,all__scale_category_match_q70__mae,all__scale_category_match_q70__rmse,all__scale_category_match_q70__delta1,all__scale_category_match_q75__count,all__scale_category_match_q75__abs_rel,all__scale_category_match_q75__mae,all__scale_category_match_q75__rmse,all__scale_category_match_q75__delta1,all__scale_category_match_q80__count,all__scale_category_match_q80__abs_rel,all__scale_category_match_q80__mae,all__scale_category_match_q80__rmse,all__scale_category_match_q80__delta1,all__scale_category_match_q85__count,all__scale_category_match_q85__abs_rel,all__scale_category_match_q85__mae,all__scale_category_match_q85__rmse,all__scale_category_match_q85__delta1
WC_1/camera_03eb3fa2e1524ee887ba22d1a4896f3c_WC_1_frame_0,WC_1,03eb3fa2e1524ee887ba22d1a4896f3c,1.1983173221642827,1.1326946258520825,1.1329619646071174,1.1329619646071174,1.132461667060852,1.1639454603194448,1.127568745612661,1.1329619646071174,1.1375000476837158,1.1424332857131958,1.1476285457611084,1.1541115045547485,1.1620047092437744,1.16998291015625,1.177538347244254,1.1856338977807968,227771,106465,105365,105365,103542,3,False,252651,0.05754738769404463,0.08951719090032939,0.1939497794557323,0.9654345322203356,252651,0.07521070530198865,0.10741725003051543,0.20880675331759566,0.9548982588630166,252651,0.0750452175230024,0.10719219467518577,0.20867696335547922,0.9549576292989144,252651,0.0750452175230024,0.10719219467518577,0.20867696335547922,0.9549576292989144,252651,0.07535535799775736,0.10761416627181815,0.20892023082674477,0.954862636601478,252651,0.06095473547630439,0.0896976021202806,0.19727826550929078,0.9597508024903919,252651,0.07849081473981226,0.11192330866915837,0.21139100911026332,0.9531250618442041,252651,0.0750452175230024,0.10719219467518577,0.20867696335547922,0.9549576292989144,252651,0.07232797143209119,0.10353409439888821,0.20655178375631453,0.9557848573724228,252651,0.06959610266488718,0.09993941658817163,0.20441146863504212,0.9566120854459313,252651,0.06702264095461742,0.09665862251300325,0.20235484551285868,0.9573957751997815,252651,0.06426596344666231,0.09331713390385446,0.20008170887676047,0.9583536182322651,252651,0.0615255202468014,0.09027637089802201,0.19776863088832472,0.9594499922818434,252651,0.059473853399459924,0.08837930990219207,0.19595464604556953,0.9606492750869777,252651,0.05824445292090772,0.08769067345472137,0.19473577662450997,0.9619752148220272,252651,0.05760769829096609,0.08793348308012523,0.19397906649596872,0.9632338680630593
WC_1/camera_03eb3fa2e1524ee887ba22d1a4896f3c_WC_1_frame_1,WC_1,03eb3fa2e1524ee887ba22d1a4896f3c,1.2047364711761475,1.1759994149195012,1.1756421327590942,1.1771728396399277,1.1780016422271726,1.1492537260055542,1.1664654970168715,1.1756421327590942,1.1953028440475464,1.219369888305664,1.2239660978315439,1.2283997535705566,1.231876015663147,1.2358827590942383,1.2386363744735718,1.2416303157806396,232812,149443,141133,127371,123562,3,False,233977,0.10993780503852828,0.14185035827050577,0.2553508699320948,0.8347358928441685,233977,0.11022731573215856,0.147712330806621,0.25183274309113585,0.8299234540147108,233977,0.11027789750464854,0.14792108525271078,0.25188266466318787,0.8298337016031491,233977,0.11007416398816504,0.14706710883923685,0.25168496297424575,0.830128602383995,233977,0.10997708192319863,0.14664581514522365,0.2515955386043448,0.8303380246776393,233977,0.11789892450679612,0.17406642784530818,0.2617553224903073,0.8264573013586806,233977,0.11220968064096662,0.15505610404137904,0.2539471091763639,0.8286370027823248,233977,0.11027789750464854,0.14792108525271078,0.25188266466318787,0.8298337016031491,233977,0.1092815472274171,0.14181644331271365,0.25256513306334044,0.8334921808553832,233977,0.11547167947856915,0.15225886017238371,0.2626832637076318,0.8360308919252747,233977,0.11811161443852924,0.15788470043091976,0.2657028297765856,0.8362445881432791,233977,0.12082011934303633,0.16379084934167865,0.2689225545642199,0.8363215187817606,233977,0.12302378160630592,0.16863538190371744,0.27165086471392025,0.8364240929664026,233977,0.1256354979513293,0.1743874221595263,0.2750102339953523,0.8366078717138864,233977,0.12747902809378775,0.17845065656809814,0.2774481463474623,0.8367104458985285,233977,0.12952008200831863,0.18294413225929082,0.28021459652306135,0.8369070464190925
WC_1/camera_03eb3fa2e1524ee887ba22d1a4896f3c_WC_1_frame_10,WC_1,03eb3fa2e1524ee887ba22d1a4896f3c,1.5604801177978513,1.54221773147583,1.5386896312211562,1.535570788378047,1.5357888042642596,1.6332170128763361,1.527884602546692,1.5386896312211562,1.553656220436096,1.5828702211369547,1.6094543457018788,1.6249278783798218,1.628169059753418,1.631667166946358,1.6357481479644775,1.6396965980529785,237402,113937,104704,98048,95026,3,False,238942,0.16959447554543106,0.17610593149417375,0.27958029441180093,0.5507612726100894,238942,0.16668894498113473,0.18342286817238487,0.2796487993830263,0.5502674289158038,238942,0.16628244566668957,0.18522009680639162,0.2799536909646878,0.5555197495626554,238942,0.16595547475587533,0.18688609616685656,0.28030146126143907,0.564362899783211,238942,0.1659774950710462,0.18676758539254493,0.28027476828455494,0.5635593575009835,238942,0.2025255538251665,0.20917376730346876,0.3034219327824349,0.5527994241280311,238942,0.16525521176565086,0.1912508139918434,0.28147004716187235,0.604347498556135,238942,0.16628244566668957,0.18522009680639162,0.2799536909646878,0.5555197495626554,238942,0.1683414409959211,0.17841903151816327,0.27930940337210447,0.5501083945057796,238942,0.175619439996092,0.17408177461309715,0.28293211691246944,0.5525692427451013,238942,0.1878638459331927,0.18680411643429387,0.29163890217035504,0.5527659431996049,238942,0.19729112968955098,0.20100923242504193,0.29890919186594334,0.5527282771551255,238942,0.1993248448051229,0.20417333761713627,0.30062404830332534,0.5527910538959245,238942,0.20153790093587987,0.2076281576845065,0.30254664196110376,0.5527994241280311,238942,0.20414863620102816,0.2117185201669723,0.3048820046182857,0.5527784985477647,238942,0.20670546306004087,0.2157398717971724,0.3072341673357758,0.5527910538959245
WC_1/camera_03eb3fa2e1524ee887ba22d1a4896f3c_WC_1_frame_11,WC_1,03eb3fa2e1524ee887ba22d1a4896f3c,1.202589511871338,1.2232415676116943,1.2219607830047607,1.2209405183787072,1.2213232040391855,1.2441323637931865,1.215900182723999,1.2219607830047607,1.2306804656982422,1.2406530499457689,1.2452999353408813,1.2492563724517822,1.2523219585418701,1.256692886352539,1.2608444690704346,1.2658517360687256,244157,115403,106383,97589,94669,3,False,246018,0.15778591237992526,0.160381420211548,0.23451891448409362,0.655639018283215,246018,0.1621342279140792,0.15353025353873873,0.2375348764524466,0.5533538196392134,246018,0.16174346563770362,0.15366116537380964,0.23718162380480112,0.5578006487330195,246018,0.1614494033603955,0.15380544390552925,0.23691569333341067,0.5618450682470388,246018,0.1615582147126158,0.15374769464544982,0.23701384740169293,0.5603776959409474,246018,0.17364964373680186,0.16314504832226315,0.2462527291020579,0.5408587989496704,246018,0.16018470264852724,0.1549758350068824,0.2358049890229369,0.5850019104293182,246018,0.16174346563770362,0.15366116537380964,0.23718162380480112,0.5578006487330195,246018,0.16525066835022167,0.15454625402864766,0.2400091419831421,0.5409482233007341,246018,0.1713189232326603,0.16049393530867243,0.24442604519599043,0.5408466047199798,246018,0.17444475876977386,0.1640680436157318,0.24689782609141714,0.5408547342064401,246018,0.17717830824436367,0.1672959416368924,0.2492016618605839,0.5408547342064401,246018,0.17933319092499503,0.16989126114658082,0.25110942275182013,0.5408669284361307,246018,0.1824630084329986,0.17373575793822574,0.25400956942358266,0.5408628636929005,246018,0.18549679316823348,0.1775458317624726,0.2569542747393305,0.5408547342064401,246018,0.18923446516660913,0.18235983611522552,0.2607432202424805,0.5409035111252022
WC_1/camera_03eb3fa2e1524ee887ba22d1a4896f3c_WC_1_frame_12,WC_1,03eb3fa2e1524ee887ba22d1a4896f3c,1.1485148668289185,1.1202926397322381,1.1170213222503662,1.1169590950012207,1.1163461208343506,1.1752259989787246,1.1106271743774414,1.1170213222503662,1.1253918409347534,1.1351820230484009,1.142378568649292,1.15325093269167,1.1646973609923692,1.1794195175170898,1.1937700748404596,1.2106382846832275,254016,92785,84037,83561,81071,3,False,253743,0.151479844884565,0.1372222436619635,0.19615798738493076,0.8505535128062646,253743,0.1426859917106043,0.14141964237283772,0.20157267289688932,0.8864756860287771,253743,0.14171724316668224,0.14199705719785732,0.2025217188703809,0.8897940041695731,253743,0.14169884711405759,0.14200810278068005,0.20254039363370602,0.8898649420870723,253743,0.1415176785324086,0.14211698835633105,0.20272558647308805,0.8904876193628987,253743,0.16261419568128288,0.13641113043747538,0.19582223024975473,0.7871389555573947,253743,0.13983050885881437,0.14313895543249092,0.20456037739515845,0.8964542864236649,253743,0.14171724316668224,0.14199705719785732,0.2025217188703809,0.8897940041695731,253743,0.14421015961148653,0.14054632176389545,0.20022292981208295,0.8803474381559294,253743,0.14722814289054512,0.13903433023883294,0.19808433888486918,0.869123483209389,253743,0.14950205917277104,0.13802315804038684,0.1969012499117015,0.8599054949299094,253743,0.15314608995723075,0.13673454714648828,0.1957533748957343,0.8425375281288547,253743,0.15775896050867963,0.1361206062264487,0.19538891664166624,0.8181742944632956,253743,0.1647221372462974,0.13684814911421841,0.19619910184273429,0.7720015921621484,253743,0.17255677874463776,0.13946267910718665,0.19835691064801692,0.7113220857324143,253743,0.18316896398838237,0.14503216634404412,0.20255983486282597,0.6368963872895016
WC_1/camera_03eb3fa2e1524ee887ba22d1a4896f3c_WC_1_frame_13,WC_1,03eb3fa2e1524ee887ba22d1a4896f3c,1.528678297996521,1.5177066326141357,1.5148029088972528,1.5143004655837873,1.5140583515167236,1.5222385274644528,1.5060361623764038,1.5148029088972528,1.523809552192688,1.5330280065536315,1.5497702360153198,1.5658135414123533,1.5780346393585205,1.6042677164077759,1.6645740270603695,1.6967426776884538,251890,164839,151737,149016,146343,2,False,253183,0.14903035229270292,0.19992173357428522,0.2894256589328579,0.7057227380985295,253183,0.1502124036773619,0.2064055859455667,0.29535423709589065,0.7220903457183144,253183,0.1505477564729404,0.20818611794620065,0.29700018285194624,0.7267470564769356,253183,0.15060654603791918,0.20849650433115838,0.29728818285282815,0.7275093509437838,253183,0.15063495235621455,0.2086463011111606,0.2974272883154859,0.7278569256229683,253183,0.14970733088396562,0.2036801819552575,0.2928489368573123,0.7151507012714123,253183,0.151600322316194,0.2136847940805506,0.3021566381739996,0.7409857691867148,253183,0.1505477564729404,0.20818611794620065,0.29700018285194624,0.7267470564769356,253183,0.14953782149540706,0.20275123181444235,0.2919988173997487,0.7128045721869162,253183,0.14859752745967555,0.1974498283218343,0.28720686269556545,0.6994782430099967,253183,0.1471980025690873,0.18863493431769118,0.27940420600311366,0.674504212368129,253183,0.14649502374570697,0.18162994130830906,0.27309374904808886,0.6492774001413997,253183,0.14684918022811078,0.17769813082834532,0.2691037871226138,0.6367094157190649,253183,0.15108613192864828,0.17464459156952666,0.26308082189918586,0.6393675720723745,253183,0.1733363775783934,0.19047875700009265,0.2632192257321861,0.654542366588594,253183,0.190094264616824,0.20868692958472612,0.2712285022877168,0.6640532737190096
WC_1/camera_03eb3fa2e1524ee887ba22d1a4896f3c_WC_1_frame_14,WC_1,03eb3fa2e1524ee887ba22d1a4896f3c,1.4609297513961792,1.434125304222107,1.4330708980560305,1.4326553344726562,1.4324692487716675,1.4478217363357548,1.4285714626312256,1.4330708980560305,1.4378488063812256,1.4415744543075564,1.4460284709930422,1.4541792869567873,1.4613466262817385,1.4688969850540163,1.479045033454895,1.498359823224955,218740,140064,131615,116696,114322,3,False,225117,0.13493781262804402,0.15734290258674,0.3013595929968623,0.8248999409196107,225117,0.12897244962365642,0.15144628743490296,0.2968349691867735,0.824775561152645,225117,0.12894378836503143,0.1517986086455048,0.2968361016211059,0.824784445421714,225117,0.12893648253307996,0.15194912811460054,0.29684030245186777,0.824784445421714,225117,0.12893387297566544,0.1520184812792459,0.2968428703474098,0.8247711190181106,225117,0.13085216974362826,0.15127438493605014,0.2980590042429463,0.8246689499238173,225117,0.1289823913580333,0.15377266913669763,0.2969944264103858,0.8246245285784726,225117,0.12894378836503143,0.1517986086455048,0.2968361016211059,0.824784445421714,225117,0.12919349052689025,0.15054656058647714,0.2969402513259479,0.8247222555382312,225117,0.1296049848355875,0.15020259653926152,0.2972159000265111,0.8246867184619553,225117,0.13042181632110467,0.1507702761824085,0.2977683229497023,0.8246600656547484,225117,0.13270948988416825,0.15389739145859996,0.2994030717469549,0.8249043830541452,225117,0.13508130545734154,0.15757154321022582,0.3014980760502455,0.8248999409196107,225117,0.13777852020659087,0.1620090119182091,0.30435599935301977,0.8248421931706623,225117,0.14174141974023602,0.16902773826748427,0.30921654970154644,0.8250154364175073,225117,0.1512921183130539,0.18824123728961958,0.32150697013383833,0.8248288667670589
WC_1/camera_03eb3fa2e1524ee887ba22d1a4896f3c_WC_1_frame_15,WC_1,03eb3fa2e1524ee887ba22d1a4896f3c,1.5596052587030411,1.586559122800525,1.5828035414217176,1.586768501996904,1.588235259056091,1.560443329778042,1.5716381072998047,1.5828035414217176,1.6077107787098839,1.655366617435083,1.6662030220031738,1.6685553491115113,1.6703014373779297,1.6716418266296387,1.6727919578552246,1.674134373664856,215520,143654,134818,118240,115274,3,False,222112,0.15107717182208147,0.2026140759930502,0.30190124757048065,0.7427874225615906,222112,0.14921209434669575,0.18473641966313806,0.29763069190079644,0.7469744993516785,222112,0.14923196620728235,0.18646843217881126,0.2977845987685913,0.7464387336118715,222112,0.14921359761024758,0.1846472004605888,0.29762635465633397,0.7470330283820775,222112,0.14923296901975497,0.18404530073994949,0.29760852686368955,0.7471951087739519,222112,0.15096158848353255,0.20186495051826991,0.301659015697261,0.7429810185852183,222112,0.1497353016888856,0.19295937507972175,0.2990903586150801,0.7448539475579887,222112,0.14923196620728235,0.18646843217881126,0.2977845987685913,0.7464387336118715,222112,0.15055851343563162,0.1789132466534642,0.2994511656116852,0.7500405200979686,222112,0.1672453684427684,0.204289949202942,0.3195275779176849,0.7500675334966144,222112,0.1738376049422058,0.21832711530261373,0.3268826935550861,0.7500315156317533,222112,0.17527825228238605,0.22140618617608962,0.3286012618792611,0.7500315156317533,222112,0.17634890352154745,0.2236959261484546,0.3299040991438705,0.7500270133986457,222112,0.1771714413428222,0.2254556954535498,0.33091978330667393,0.7500270133986457,222112,0.1778775934551281,0.22696682924619155,0.3318019560281848,0.7500225111655381,222112,0.17870225438825316,0.22873200491304752,0.33284395049028387,0.750036017864861
WC_1/camera_03eb3fa2e1524ee887ba22d1a4896f3c_WC_1_frame_16,WC_1,03eb3fa2e1524ee887ba22d1a4896f3c,1.305655837059021,1.2971887588500977,1.297209620475769,1.297209620475769,1.2971460819244385,1.2955400577490799,1.2959582805633545,1.297209620475769,1.2991564273834229,1.3016574382781982,1.3038533926010132,1.305993676185608,1.3086444258638694,1.3112499713897705,1.313523292541504,1.3155940771102905,227251,154696,151250,151250,149152,2,False,253494,0.12236976395164384,0.1687901549633981,0.27345222721201395,0.6172414337222972,253494,0.12652224237972837,0.1760307032219718,0.2776151281839727,0.6174189527168296,253494,0.12651132875543608,0.17601119588279876,0.27760437334999144,0.6174189527168296,253494,0.12651132875543608,0.17601119588279876,0.27760437334999144,0.6174189527168296,253494,0.1265445766108286,0.17607062806197865,0.2776371382528067,0.61742684244992,253494,0.12739368483967367,0.1775938147705556,0.27847274467637184,0.6174662911153715,253494,0.1271708871995457,0.17719312437467746,0.2782537835281399,0.6174702359819167,253494,0.12651132875543608,0.17601119588279876,0.27760437334999144,0.6174189527168296,253494,0.1255052150776703,0.17422065522882046,0.27661140258229333,0.6173597797186521,253494,0.12425672544114494,0.172027475455499,0.27536711525647395,0.6173124413201101,253494,0.12320574846328419,0.17021317613791023,0.2743040204840333,0.6172769375212036,253494,0.12221470566519706,0.16852745730950264,0.27329467397544516,0.617261158055023,253494,0.12101316360619642,0.16650302045228513,0.2720817107677749,0.617308496453565,253494,0.1198565688656907,0.1645727565171222,0.2709299421702669,0.6173163861866553,253494,0.1188628424916775,0.16292598990367663,0.2699582559448184,0.6174189527168296,253494,0.11796839780306943,0.1614514485138999,0.26910038202388054,0.617596471711362
WC_1/camera_03eb3fa2e1524ee887ba22d1a4896f3c_WC_1_frame_17,WC_1,03eb3fa2e1524ee887ba22d1a4896f3c,1.3170732259750366,1.3296784162521362,1.3217287063598633,1.3215664625167847,1.321292757987976,1.3144721984863281,1.3170984983444214,1.3217287063598633,1.3416458368301392,1.3513288497924805,1.3620836734771726,1.3946604967081802,1.4247355461120605,1.4272644519805908,1.4304779052731802,1.434399127960205,225240,144788,133707,116665,113389,3,False,230303,0.13693154640087374,0.18058920520305713,0.2590742486091016,0.7209241738058123,230303,0.13591625954379574,0.17036968143364273,0.2535001166987886,0.724198121605016,230303,0.13633877642833117,0.17613809571087263,0.2567563964132746,0.7220531213227791,230303,0.1363552493469903,0.176279468666258,0.2568321415524031,0.7220140423702688,230303,0.13638369606086836,0.17652018026052488,0.25696075465567564,0.7219879897352618,230303,0.13736097487890897,0.18340203486737885,0.2604977072602849,0.7201425947556046,230303,0.13692765816384758,0.18056283547961158,0.25906086551952767,0.7209545685466537,230303,0.13633877642833117,0.17613809571087263,0.2567563964132746,0.7220531213227791,230303,0.1361819597610265,0.16452805858062897,0.25033013185446196,0.7264733850622875,230303,0.13684608115748215,0.16143759669082283,0.24933535136496998,0.7274807536158886,230303,0.13809935255048664,0.15966762003708945,0.24989958180097144,0.7278498326118201,230303,0.14753653224392257,0.1679555231513247,0.26202576523053317,0.7281494379143997,230303,0.16679854152619447,0.20465919457966963,0.2855447664316994,0.7280148326335306,230303,0.16866701294197511,0.2084755134038605,0.2879782315408425,0.7280104905276962,230303,0.1710508904638274,0.21334914628543908,0.29116123267521277,0.728036543162703,230303,0.17397019997836077,0.21932178338770753,0.29517869221898596,0.7279627273635167
