epoch,train_total,train_depth,train_scale_teacher,train_low1_teacher,train_low2_teacher,train_zero_mean,train_equivariance,train_predicted_residual_mean,train_da3_scale_perturbation_fraction,train_da3_scale_perturbation_abs_log_q,train_da3_scale_perturbation_mean_log_q,train_bim_condition_dropout_fraction,val_abs_rel,val_rmse,val_delta1,val_scale_abs_rel,val_low1_abs_rel,val_scale_log_mae,val_combined_residual_mean_abs,optimizer_steps,skipped_steps,epoch_seconds
1,0.1516302626737257,0.08277711329351595,0.08396138969162788,0.0,0.05211405853325946,0.0038889646694770944,0.004265284864231036,0.0038889646694770944,0.0,0.0,0.0,0.0,0.07241115329821328,0.6632153058846947,0.938294116690554,0.0744579433770508,0.0744579433770508,0.03198454514921304,0.00463708872410272,439,0,600.2051788531244
2,0.13205742352327074,0.06974013932065212,0.07419443948070066,0.0,0.04879749237869999,0.0063243386259379235,0.0018888440227577085,0.0063243386259379235,0.0,0.0,0.0,0.0,0.06636053206205722,0.6406182602241995,0.9417693950339946,0.07013245414700973,0.07013245414700973,0.025261657398240836,0.007603162639923015,878,0,601.0923479087651
3,0.12483914253762533,0.06424048943716036,0.07201155246630167,0.0,0.04756947830401752,0.006309197223668335,0.0017721822447970472,0.006309197223668335,0.0,0.0,0.0,0.0,0.0663513485722292,0.6461357674736751,0.941403502335099,0.06960853353774388,0.06960853353774388,0.02454377565707163,0.00846837063940538,1317,0,601.307857112959
4,0.11713531394624584,0.059354282123463296,0.06980961504037966,0.0,0.04429161243331425,0.005888691249681753,0.0014154908847198483,0.005888691249681753,0.0,0.0,0.0,0.0,0.06418907662774982,0.6347759318114768,0.9425275834479026,0.06993949356718784,0.06993949356718784,0.02528611916293837,0.0064927652700611,1756,0,601.6099056117237
5,0.11249569389136073,0.056091446229997816,0.06892273120456723,0.0,0.0424703481343893,0.005857241739267889,0.0012198375074964035,0.005857241739267889,0.0,0.0,0.0,0.0,0.06263791909462389,0.6315179735668333,0.9427730602022995,0.06960192154664457,0.06960192154664457,0.024461069115222132,0.005801028267676523,2195,0,601.6172175714746
6,0.10860821826694798,0.05372633612929874,0.06720378291907392,0.0,0.0411869222360025,0.005568741080057645,0.0012965551255548363,0.005568741080057645,0.0,0.0,0.0,0.0,0.06255211274224337,0.6311514624816608,0.9433104813140512,0.0695826260005528,0.0695826260005528,0.02442227135920642,0.006021320749169656,2634,0,602.3157983459532
