epoch,train_total,train_depth,train_scale_teacher,train_low1_teacher,train_low2_teacher,train_zero_mean,train_equivariance,train_predicted_residual_mean,train_da3_scale_perturbation_fraction,train_da3_scale_perturbation_abs_log_q,train_da3_scale_perturbation_mean_log_q,train_bim_condition_dropout_fraction,val_abs_rel,val_rmse,val_delta1,val_scale_abs_rel,val_low1_abs_rel,val_scale_log_mae,val_combined_residual_mean_abs,optimizer_steps,skipped_steps,epoch_seconds
1,0.10981277083840989,0.08332163970747455,0.040397521746884484,0.0,0.05216262472270952,0.00409818659398757,0.0,0.00409818659398757,0.0,0.0,0.0,0.0,0.07439399071708491,0.664012009270453,0.938321571374308,0.07362464833595787,0.07362464833595787,0.031213751984192354,0.007112347636276798,439,0,347.7771441852674
2,0.09679955551618603,0.07148353010814486,0.027195332057858974,0.0,0.04941465077787336,0.006087001179222029,0.0,0.006087001179222029,0.0,0.0,0.0,0.0,0.06674086339109928,0.6346524500548905,0.9426421607421164,0.07075766381945148,0.07075766381945148,0.02672811255736574,0.004621516843982226,878,0,348.3854584451765
3,0.09209100317015513,0.06702696212529669,0.02368772839821301,0.0,0.04898679851306229,0.005706416621418325,0.0,0.005706416621418325,0.0,0.0,0.0,0.0,0.06585794039854716,0.6392502819562118,0.941569824519425,0.06893657614748974,0.06893657614748974,0.023240802388886535,0.00571570015665215,1317,0,348.51575584243983
4,0.0862352554675742,0.06253153549510448,0.02143716321510316,0.0,0.0462526488171001,0.00577395654071299,0.0,0.00577395654071299,0.0,0.0,0.0,0.0,0.0661115290627593,0.6366555950500097,0.9414484634952247,0.06934265825566853,0.06934265825566853,0.023936764056974154,0.005975312562357385,1756,0,348.7967615593225
5,0.08210465783695332,0.05926372951424707,0.020045234668294925,0.0,0.04449677175278544,0.005925425145435828,0.0,0.005925425145435828,0.0,0.0,0.0,0.0,0.06542775755863946,0.6367545828892205,0.9415832001211123,0.069444832408135,0.069444832408135,0.024293781698776606,0.0058286745121636585,2195,0,349.4736806973815
6,0.07924731467498272,0.05704329808944431,0.020528597085537493,0.0,0.043251521807165016,0.005782557084139434,0.0,0.005782557084139434,0.0,0.0,0.0,0.0,0.06519584282841553,0.6361328490404492,0.941991619037946,0.06924055137295818,0.06924055137295818,0.02395902126381765,0.006082300970908945,2634,0,350.0492586288601
