epoch,train_total,train_depth,train_scale_teacher,train_low1_teacher,train_low2_teacher,train_zero_mean,train_equivariance,train_predicted_residual_mean,val_abs_rel,val_rmse,val_delta1,val_scale_abs_rel,val_low1_abs_rel,val_scale_log_mae,val_combined_residual_mean_abs,optimizer_steps,skipped_steps,epoch_seconds
1,0.11620507611857522,0.084337025850531,0.0,0.06373610054883899,0.0,0.0,0.0,0.03979573352919414,0.0699020576310157,0.6520406594559941,0.9413353334283229,0.09070452423452083,0.0699020576310157,0.027879565114737697,0.05050913942922118,439,0,601.9079865941312
2,0.09843684545693164,0.07236157270457598,0.0,0.05215054567697677,0.0,0.0,0.0,0.05041121606069792,0.06479914182220181,0.6389459272070902,0.9422976069480554,0.09070452423452083,0.06479914182220181,0.0223271394150139,0.048514544665318,878,0,599.9457600191236
3,0.09294107958942192,0.06830254082392138,0.0,0.049277077399643696,0.0,0.0,0.0,0.05039680787185576,0.0667536767252313,0.642723880930786,0.9412492222189469,0.09070452423452083,0.0667536767252313,0.022549030486242683,0.052470379222864405,1317,0,609.8594781837892
4,0.08736914415571241,0.06451151322061276,0.0,0.045715261878832514,0.0,0.0,0.0,0.0524923407170143,0.06600329389069452,0.6360563822209335,0.9420358459256223,0.09070452423452083,0.06600329389069452,0.023709224497212474,0.04976644439974024,1756,0,616.9415187039413
5,0.08358267957559286,0.06172134651479997,0.0,0.04372266611149157,0.0,0.0,0.0,0.05401469897674062,0.06507184965005788,0.6351930205132005,0.9422058371035756,0.09070452423452083,0.06507184965005788,0.022469413497647212,0.04918170038415024,2195,0,612.5917070740834
6,0.07993194859164633,0.059203032171486515,0.0,0.041457832965036114,0.0,0.0,0.0,0.05457537520523579,0.06476965012571181,0.6358735808030356,0.9417960988649534,0.09070452423452083,0.06476965012571181,0.02201364099427176,0.050879355300957135,2634,0,618.1305478441063
