epoch,train_total,train_depth,train_gradient,train_low_residual_teacher,train_low_smoothness,val_abs_rel,val_rmse,val_mae,val_delta1,val_scale_only_abs_rel,val_raw_da3_abs_rel,val_mean_abs_r_low,optimizer_steps,skipped_steps,epoch_seconds
1,0.11408771359756445,0.08062642717816858,0.003873840550137912,0.0653365878628687,0.0009112161918626889,0.06993858527744153,0.6396000940700285,0.21243382908501404,0.9375436239256425,0.07076656534162698,0.09070452423452083,0.02361562038245433,439,0,684.7570828709286
2,0.10465902738332647,0.074140797467999,0.00390552028761146,0.059408482756248916,0.001644222407597922,0.06683838025331634,0.6371058249223268,0.206574439824714,0.9412181269650152,0.07076656534162698,0.09070452423452083,0.021399282469801148,878,0,694.3011150318198
3,0.09637652940652877,0.06834210489578524,0.003917020714861175,0.05442367035404689,0.001959268730567424,0.06613199337171001,0.6243842580605588,0.20242093002623895,0.9416443650161671,0.07076656534162698,0.09070452423452083,0.03225265107158416,1317,0,698.3817892998923
4,0.0886945656850866,0.0629801859144659,0.003929350849815325,0.049766131699046985,0.0022721910544627817,0.06399253320594303,0.6201615465303224,0.19656240014505344,0.9399377666201,0.07076656534162698,0.09070452423452083,0.03129138532874013,1756,0,695.2647283650003
5,0.08239034778721147,0.058590170546024146,0.0039385579598411975,0.04592380936138536,0.00252805320803101,0.06286895699103345,0.6160293651939427,0.1938058868260707,0.9423486767812381,0.07076656534162698,0.09070452423452083,0.033002682405862925,2195,0,702.86385152
6,0.0777564511625909,0.05528277792493429,0.003947768787453902,0.04325985845811378,0.0027095117353602045,0.06362281987542627,0.6189753639140051,0.1963518604110612,0.9423977261808738,0.07076656534162698,0.09070452423452083,0.03612020824309766,2634,0,694.2083995051216
7,0.0744305157678545,0.052936296017507926,0.003955790402470778,0.04129198880154795,0.002853366423575436,0.0631100853901827,0.6145643271281639,0.19326873315335108,0.941069908149504,0.07076656534162698,0.09070452423452083,0.03705982409762051,3073,0,694.9293951338623
8,0.07272892360348643,0.05172216415450963,0.003957071747550214,0.04031425025424332,0.002910998247654687,0.06255175294666125,0.6147787556061763,0.19227317149597276,0.9422001382019182,0.07076656534162698,0.09070452423452083,0.03646213530045849,3512,0,698.4144524880685
9,0.07146180652217972,0.05080787404862706,0.003960330288712317,0.039605665738328855,0.0029516770239176706,0.06241620243698949,0.6155638471284107,0.19212321942021274,0.9415986316856587,0.07076656534162698,0.09070452423452083,0.036371604542610174,3951,0,696.7622163889464
