epoch,train_total,train_depth,train_scale_teacher,train_low1_teacher,train_low2_teacher,train_zero_mean,train_equivariance,train_predicted_residual_mean,train_da3_scale_perturbation_fraction,train_da3_scale_perturbation_abs_log_q,train_da3_scale_perturbation_mean_log_q,train_bim_condition_dropout_fraction,val_abs_rel,val_rmse,val_delta1,val_scale_abs_rel,val_low1_abs_rel,val_scale_log_mae,val_combined_residual_mean_abs,optimizer_steps,skipped_steps,epoch_seconds
1,0.1226080681297756,0.08351624587468943,0.03956727170211678,0.05015914013065532,0.012336322042975308,0.0022318597987848266,0.0037705455562497565,0.0024620506598822083,0.0,0.0,0.0,0.0,0.07455284915750837,0.6693671364870281,0.9361705320762005,0.07484990568324049,0.07446255802171674,0.03332918735379125,0.00451829978503718,439,0,606.7855529598892
2,0.10316725091129983,0.07165012432339868,0.025108690443822128,0.047675062284267766,0.012594135267107098,0.005828861296009061,0.0016406196584947048,0.0060112273506571995,0.0,0.0,0.0,0.0,0.06822697156738229,0.644596512753187,0.9403147894681597,0.07124713977379707,0.06911071242804412,0.02749193762609979,0.00689833564240627,878,0,607.735187840648
3,0.0950953966252085,0.06575089794702092,0.020776057030586267,0.0469184678768568,0.012773605364905957,0.0068308534893743575,0.0015696524890198506,0.007059629945183419,0.0,0.0,0.0,0.0,0.06847408124179169,0.6541448713690736,0.941951234053216,0.07145844343657425,0.06890064229163136,0.028109651726926078,0.007495273702850081,1317,0,607.9363249372691
4,0.08756216651883829,0.060529258944512825,0.017825599770223133,0.04394517887353948,0.012600118259327402,0.007003695603698615,0.0013338442573274834,0.007326447300081686,0.0,0.0,0.0,0.0,0.06689696182157356,0.642190043401495,0.9412534596815676,0.07104903770466305,0.0686691104244417,0.026985287568067104,0.008912225511882959,1756,0,608.1865126863122
5,0.08280522837152166,0.05726220652235792,0.01586495018887606,0.04228127981747006,0.012399591349324765,0.00720980216700899,0.0011945089365472616,0.007581426908371907,0.0,0.0,0.0,0.0,0.06418432849719156,0.6343967390602147,0.9423035569235183,0.06982999201455395,0.0655610992796785,0.02458486850225927,0.00979648601529297,2195,0,608.502952683717
6,0.0796515475440594,0.05448029879576229,0.015917230344671716,0.04077351135037057,0.012360466060215231,0.0071112896365626765,0.0012789366285864963,0.007501009011281572,0.0,0.0,0.0,0.0,0.06386210667074285,0.635755965612295,0.9417056293932957,0.06965138529763003,0.0652709355850589,0.024179367346881715,0.008350729176036882,2634,0,609.041577831842
