epoch,train_total_loss,train_depth_loss,train_oracle_loss,train_equivariance_loss,val_abs_rel,val_rmse,val_mae,val_delta1,val_delta2,val_rmse_log,val_oracle_log_scale_mae,val_oracle_scale_relative_error,val_oracle_log_scale_bias,encoder_lr,bim_condition_lr,scale_head_lr,optimizer_steps,skipped_steps,epoch_seconds
1,0.14787821567957904,0.08469246614738211,0.04086396260696031,0.004075353696581611,0.0769068691757983,0.6780210447770676,0.2505316904025701,0.9345710000777737,0.9757610624391775,0.15374051822003232,0.036437151791862986,0.03603476752653424,-0.02327349236139274,3.7500000000000086e-06,3.7500000000000044e-05,3.7500000000000044e-05,439,0,939.9015903600957
2,0.12444198661028523,0.07452025615514021,0.024971600823617535,0.0017580215710348828,0.07146326238866328,0.6699745624233651,0.2342070471451573,0.9377228929912901,0.9761201619336037,0.15028122805024627,0.02795459697545198,0.027878091959488725,-0.008804290947875645,1.250000000000001e-06,1.2500000000000014e-05,1.2500000000000014e-05,878,0,938.3678534121718
3,0.11687770626877997,0.07145419174935977,0.019073663194998994,0.0015958707313772954,0.0696319671129577,0.6640660073391663,0.2270146417775004,0.9378057970880957,0.9763591770904437,0.14908147179461745,0.024341993599749312,0.024475522406145405,-0.002688064414298622,0.0,0.0,0.0,1317,0,938.3737625898793
