target,factor,spearman_rho,p_value,frames
direct_abs_rel,gt_mean_m,-0.09473619001777298,0.010489955137000196,729
direct_abs_rel,gt_near_fraction,0.2220693051696573,1.3492123559587335e-09,729
direct_abs_rel,gt_far_fraction,0.10733560253474052,0.003714113129720397,729
direct_abs_rel,gt_coverage,-0.22220687969003422,1.3172701404298479e-09,729
direct_abs_rel,gt_support_mean,-0.25517135212721215,2.673378911376415e-12,729
direct_abs_rel,bim_gt_overlap_fraction,-0.13729324636450135,0.00020066551260532658,729
direct_abs_rel,bim_abs_rel_overlap,0.5732059813356396,6.720881608698057e-65,729
direct_abs_rel,bim_mean_abs_log_error,0.6576104326037251,1.7075169057723256e-91,729
direct_abs_rel,bim_win_fraction,-0.1250900428395034,0.0007119399075634703,729
direct_abs_rel,scale,0.02431465090689195,0.5121678259820405,729
direct_abs_rel,abs_log_scale,0.0360987068003149,0.3303993690866757,729
direct_abs_rel,scale_mismatch_abs_log,0.7734818791896418,4.079643210333786e-146,729
direct_abs_rel,bim_scaled_abs_log_disagreement,0.2790190926992227,1.8174607648807566e-14,727
direct_abs_rel,direct_seed_fraction,-0.3594932420312229,1.16235016147817e-23,729
direct_abs_rel,anchor_support_mean,-0.3732605633892292,1.6208223094112192e-25,729
direct_abs_rel,anchor_field_abs_mean,0.06959706959706961,0.06035735443094126,729
direct_abs_rel,base_confidence_gt_mean,-0.24071983318558668,4.537950213932868e-11,729
direct_abs_rel,rgb_luminance_mean,-0.26554747749572716,3.12883848804231e-13,729
direct_abs_rel,rgb_luminance_std,-0.19446869720842327,1.208209874925534e-07,729
direct_abs_rel,rgb_saturation_mean,0.16387440847105994,8.703181864102822e-06,729
direct_abs_rel,rgb_laplacian_variance,0.04030140331510196,0.2771640514473643,729
direct_abs_rel,pose_recovery_fitness,-0.21613631837889702,3.7357449420708e-09,729
direct_abs_rel,pose_recovery_rmse_m,0.21611362311514523,3.7501186537928045e-09,729
direct_abs_rel,time_difference_ms,0.058749829593739526,0.11299076804540233,729
refined_abs_rel,gt_mean_m,-0.15690711284318595,2.084809277371524e-05,729
refined_abs_rel,gt_near_fraction,0.27083855639066357,1.0100785416291823e-13,729
refined_abs_rel,gt_far_fraction,0.021426253961565913,0.5635460763755751,729
refined_abs_rel,gt_coverage,-0.18075185846681324,8.994846964158345e-07,729
refined_abs_rel,gt_support_mean,-0.29337828302820695,6.1545264800613285e-16,729
refined_abs_rel,bim_gt_overlap_fraction,-0.041890414331150636,0.258646433797837,729
refined_abs_rel,bim_abs_rel_overlap,0.45775520426027216,4.8702204482654575e-39,729
refined_abs_rel,bim_mean_abs_log_error,0.5526112649954504,1.5943225478432776e-59,729
refined_abs_rel,bim_win_fraction,0.04731176887295399,0.2019766464107331,729
refined_abs_rel,scale,-0.03611674924647816,0.3301575642739681,729
refined_abs_rel,abs_log_scale,0.1089679963167392,0.0032205459199346194,729
refined_abs_rel,scale_mismatch_abs_log,0.6465597005170827,1.5790442006837736e-87,729
refined_abs_rel,bim_scaled_abs_log_disagreement,0.2266983985128289,6.305237313046572e-10,727
refined_abs_rel,direct_seed_fraction,-0.303441369052185,5.421716369056869e-17,729
refined_abs_rel,anchor_support_mean,-0.31525334824385537,2.768029920512863e-18,729
refined_abs_rel,anchor_field_abs_mean,0.11010943788721568,0.0029117006949676565,729
refined_abs_rel,base_confidence_gt_mean,-0.3097580360898474,1.1233282751932522e-17,729
refined_abs_rel,rgb_luminance_mean,-0.3073103963514923,2.076726174694403e-17,729
refined_abs_rel,rgb_luminance_std,-0.19703840609472273,8.159085924002281e-08,729
refined_abs_rel,rgb_saturation_mean,0.1815066944442896,8.08498684095164e-07,729
refined_abs_rel,rgb_laplacian_variance,-0.023615315852758778,0.5243801192099943,729
refined_abs_rel,pose_recovery_fitness,-0.23083908464056938,2.8387464391806775e-10,729
refined_abs_rel,pose_recovery_rmse_m,0.22917539363505882,3.8343276139460835e-10,729
refined_abs_rel,time_difference_ms,0.08817863942375996,0.01724800980088934,729
learned_gain_over_direct,gt_mean_m,0.044596248781941336,0.22911921689152417,729
learned_gain_over_direct,gt_near_fraction,0.003515017939542153,0.9245190290761233,729
learned_gain_over_direct,gt_far_fraction,0.1202994720504017,0.0011365715034637315,729
learned_gain_over_direct,gt_coverage,-0.017466992796657914,0.6377582616514408,729
learned_gain_over_direct,gt_support_mean,-0.023462303523186328,0.5270718455572537,729
learned_gain_over_direct,bim_gt_overlap_fraction,-0.1850693224360671,4.858295271163477e-07,729
learned_gain_over_direct,bim_abs_rel_overlap,0.3503141735747875,1.791219844186267e-22,729
learned_gain_over_direct,bim_mean_abs_log_error,0.32723917071684094,1.1768447264451794e-19,729
learned_gain_over_direct,bim_win_fraction,-0.34443475220082803,9.855478694079527e-22,729
learned_gain_over_direct,scale,0.1900425567100218,2.3468783063368092e-07,729
learned_gain_over_direct,abs_log_scale,-0.1671155170403277,5.724601699484299e-06,729
learned_gain_over_direct,scale_mismatch_abs_log,0.42232279530605266,6.762273647369304e-33,729
learned_gain_over_direct,bim_scaled_abs_log_disagreement,0.15319156272013593,3.3554796778465124e-05,727
learned_gain_over_direct,direct_seed_fraction,-0.16144218712614458,1.1855770256800586e-05,729
learned_gain_over_direct,anchor_support_mean,-0.16433228935706615,8.20703633193855e-06,729
learned_gain_over_direct,anchor_field_abs_mean,-0.07031693995164316,0.05774236499829242,729
learned_gain_over_direct,base_confidence_gt_mean,0.1092917201745208,0.003130059487437958,729
learned_gain_over_direct,rgb_luminance_mean,0.07760965006018279,0.0361687420717579,729
learned_gain_over_direct,rgb_luminance_std,-0.05124246631095948,0.16694700252396005,729
learned_gain_over_direct,rgb_saturation_mean,-0.02061237144950996,0.5784583270379454,729
learned_gain_over_direct,rgb_laplacian_variance,0.08104843180946683,0.02865844580021658,729
learned_gain_over_direct,pose_recovery_fitness,-0.022655644285845763,0.5413776238820256,729
learned_gain_over_direct,pose_recovery_rmse_m,-0.002005359767916846,0.9568938510578806,729
learned_gain_over_direct,time_difference_ms,-0.06013090530530399,0.10475700073668542,729
