sample_id,region,image,sample,frame_index,time_difference_ms,valid_pixels,gt_coverage,gt_mean_m,gt_median_m,gt_support_mean,bim_pixels,bim_coverage,bim_gt_overlap_pixels,bim_gt_overlap_fraction,bim_abs_rel_overlap,bim_mean_abs_log_error,bim_win_fraction,scale,abs_log_scale,oracle_scale,scale_mismatch_abs_log,bim_scaled_abs_log_disagreement,direct_seed_fraction,anchor_support_mean,anchor_field_abs_mean,direct_correction_abs_log_mean,bim_edge_fraction,base_confidence_gt_mean,rgb_luminance_mean,rgb_luminance_std,rgb_saturation_mean,rgb_laplacian_variance,pose_recovery_fitness,pose_recovery_rmse_m,base_abs_rel,scaled_abs_rel,direct_abs_rel,refined_abs_rel,direct_gain_over_scaled,learned_gain_over_direct,learned_relative_gain,learned_frame_trust,learned_mean_pixel_trust,learned_mean_variance,learned_mean_abs_log_residual,gt_0.2_1_count,gt_1_2_count,gt_2_3_count,gt_3_5_count
3F_Region2/000000,3F_Region2,/home/bgao491/SLABIM/sensor_data/3F_Region2/images/data/000000.png,/home/bgao491/PriorBIMDA/data/processed/slabim_504_r50/samples/3F_Region2/000000.npz,25,1.474142074584961,159745,0.6288777084908037,2.043788433074951,1.7802734375,16.126220703125,252612,0.9944727891156463,159624,0.9992425428025916,0.10288143200975418,0.09133125442445998,0.5728023354883978,0.7766393423080444,0.2527792032870119,0.8312610983848572,0.06796786762623876,0.05969463288784027,0.8626074770794736,0.9876330494880676,0.01741085760295391,0.021763570606708527,0.22402525825144873,0.7474449276924133,0.37353408336639404,0.16535930335521698,0.11273856209150328,0.004529877565801144,0.975441619991383,0.11526886694667454,0.2000418795734402,0.06800026373367614,0.048405683401983035,0.03909910723773466,0.019594580331693104,0.009306576164248376,0.19226205499387936,0.44899481534957886,0.4442470967769623,0.15133152902126312,0.03344263136386871,18256,73665,38164,29660
3F_Region2/000002,3F_Region2,/home/bgao491/SLABIM/sensor_data/3F_Region2/images/data/000002.png,/home/bgao491/PriorBIMDA/data/processed/slabim_504_r50/samples/3F_Region2/000002.npz,107,2.6581287384033203,154840,0.6095679012345679,1.834673285484314,1.62109375,22.15846061706543,253730,0.9988740866717057,154817,0.9998514595711703,0.08887973381476194,0.08208651938659837,0.680616469767532,0.7582491636276245,0.276743235443894,0.8193048894405365,0.07744424141856643,0.05252794176340103,0.903034721948528,0.9944876432418823,0.018319645896553993,0.022899562492966652,0.17171752960443437,0.7501262426376343,0.3699248731136322,0.1517505645751953,0.12203458605664488,0.004040381405502558,0.9686291362269016,0.11994366739757004,0.22017959711547677,0.07479984345705956,0.05641009562562827,0.03512181539127199,0.01838974783143129,0.021288280234356284,0.3773842252570935,0.4511268436908722,0.4534400403499603,0.13526859879493713,0.03970304876565933,18448,82888,35759,17745
3F_Region2/000004,3F_Region2,/home/bgao491/SLABIM/sensor_data/3F_Region2/images/data/000004.png,/home/bgao491/PriorBIMDA/data/processed/slabim_504_r50/samples/3F_Region2/000004.npz,189,5.605936050415039,160105,0.6302949420508944,1.8229905366897583,1.6201171875,21.084781646728516,253801,0.9991535966238347,159911,0.9987882951812873,0.09600879429612409,0.08744952881016628,0.7005834495438087,0.7593725919723511,0.2752627235234683,0.8218116760253906,0.07901870875706274,0.05268283560872078,0.9018561786596585,0.9943448901176453,0.01928122527897358,0.024101538583636284,0.17046563995968758,0.744441568851471,0.37024974822998047,0.15140266716480255,0.12209313725490195,0.004039036110043526,0.9658190912880367,0.109477739057035,0.21674713070417329,0.07603561527484891,0.05688228570094509,0.035108177155002473,0.019153329573903817,0.021774108545942618,0.38279243313847433,0.45579490065574646,0.45464831590652466,0.13525228202342987,0.04144715145230293,17405,89481,36001,17218
3F_Region2/000006,3F_Region2,/home/bgao491/SLABIM/sensor_data/3F_Region2/images/data/000006.png,/home/bgao491/PriorBIMDA/data/processed/slabim_504_r50/samples/3F_Region2/000006.npz,273,7.8868865966796875,200974,0.7911863819601915,2.2166147232055664,1.9619140625,14.80263614654541,202753,0.798189877802973,164406,0.8180461154179147,0.13593915605650037,0.11366960356525918,0.17338175005778378,0.8573797941207886,0.15387429155176355,0.8595091760158539,0.002480513328391576,0.08799592405557632,0.7194418824875588,0.8854526877403259,0.027788225561380386,0.03473527729511261,0.6324601599899219,0.7471491098403931,0.3698769211769104,0.19772756099700928,0.10449509803921568,0.0063413772732019424,0.9737118822292324,0.10831903918895408,0.1612256589463277,0.03342326816796153,0.05819388747791411,0.0331888083377594,-0.024770619309952578,0.025005079140154714,0.4296856632862808,0.4028624892234802,0.31214675307273865,0.1259140819311142,0.028536129742860794,0,107002,59856,34101
3F_Region2/000008,3F_Region2,/home/bgao491/SLABIM/sensor_data/3F_Region2/images/data/000008.png,/home/bgao491/PriorBIMDA/data/processed/slabim_504_r50/samples/3F_Region2/000008.npz,355,43.6251163482666,194267,0.7647825333837238,1.9703009128570557,1.482421875,16.681838989257812,209377,0.824266975308642,157603,0.8112700561598213,0.19696905555414554,0.15296490876204769,0.1883593586416502,0.8643506050109863,0.14577679965293808,0.8580209016799927,0.007350019205567052,0.13420319557189941,0.6302411439651919,0.8333736658096313,0.0249463003128767,0.031182873994112015,0.5220025510204082,0.7651918530464172,0.4004019796848297,0.17499887943267822,0.07267510893246187,0.005850054789334536,0.9778445362373264,0.11479079869167234,0.15859012464529176,0.03694626334150404,0.051591895605546285,0.04929519205671451,-0.014645632264042245,0.002296703548831776,0.04451675058407571,0.38824939727783203,0.3096723258495331,0.13323697447776794,0.040473975241184235,9584,124566,26480,33633
3F_Region2/000010,3F_Region2,/home/bgao491/SLABIM/sensor_data/3F_Region2/images/data/000010.png,/home/bgao491/PriorBIMDA/data/processed/slabim_504_r50/samples/3F_Region2/000010.npz,449,12.655019760131836,194873,0.7671682098765432,1.609142541885376,1.337890625,15.56844711303711,226775,0.8927587238599143,175783,0.9020387637076455,0.16089146490274941,0.1381057917467844,0.282717896497386,0.9221442341804504,0.08105363145601718,0.8514056205749512,0.07981299258590978,0.09966697543859482,0.6320934847315621,0.9500094056129456,0.008864093571901321,0.011080116964876652,0.4215758062484253,0.7798053026199341,0.3914918303489685,0.22776298224925995,0.17253186274509802,0.008723825216293335,0.9659150498164657,0.11747147598932153,0.17299441697847814,0.08173968629738254,0.09180063301255241,0.04119468606138566,-0.010060946715169869,0.05060594695116675,0.5512592374417191,0.3900550901889801,0.3503709137439728,0.14122378826141357,0.042606525123119354,41167,112279,26581,14838
3F_Region2/000012,3F_Region2,/home/bgao491/SLABIM/sensor_data/3F_Region2/images/data/000012.png,/home/bgao491/PriorBIMDA/data/processed/slabim_504_r50/samples/3F_Region2/000012.npz,529,14.953851699829102,185409,0.7299107142857143,1.9618134498596191,1.8701171875,14.80926513671875,221581,0.8723111929957168,161504,0.8710688262166346,0.28994901538816376,0.21931086555905735,0.23110263522884883,0.8865886330604553,0.12037417757397213,0.8242999315261841,0.07284664315803414,0.16150939464569092,0.6419954779516295,0.8995348215103149,0.024466289207339287,0.030582865700125694,0.5229040690350214,0.7839661240577698,0.43416720628738403,0.22038844227790833,0.12341394335511983,0.01393754780292511,0.9779127553837659,0.10585695149754887,0.20873503956121464,0.0771480480679024,0.08775040453344149,0.043365559294979227,-0.010602356465539087,0.04438484523846226,0.505807870339188,0.3915918171405792,0.35483917593955994,0.12232592701911926,0.03455645963549614,10605,94455,56181,24162
3F_Region2/000014,3F_Region2,/home/bgao491/SLABIM/sensor_data/3F_Region2/images/data/000014.png,/home/bgao491/PriorBIMDA/data/processed/slabim_504_r50/samples/3F_Region2/000014.npz,611,17.12512969970703,178996,0.704664273116654,1.956291913986206,1.91015625,18.945758819580078,231992,0.9132968002015621,165911,0.9268978077722407,0.22682666648082406,0.17406653407173123,0.1690605203994913,0.8897515535354614,0.11681300855743751,0.8895454406738281,0.00023167898695495917,0.13872914016246796,0.694092899755164,0.9093343019485474,0.021358689293265343,0.026698363944888115,0.34491921768707484,0.7931698560714722,0.388944149017334,0.18770894408226013,0.10544253812636166,0.00935907568782568,0.9823848238482384,0.11535580108602583,0.11654912753095653,0.02597193860683764,0.03426306766288883,0.03396012995524575,-0.00829112905605119,0.0003029377076430792,0.008841523199955575,0.3839297294616699,0.3689388334751129,0.1604510247707367,0.026797745376825333,5559,97128,68288,8019
3F_Region2/000016,3F_Region2,/home/bgao491/SLABIM/sensor_data/3F_Region2/images/data/000016.png,/home/bgao491/PriorBIMDA/data/processed/slabim_504_r50/samples/3F_Region2/000016.npz,733,20.308256149291992,182963,0.7202813995968758,2.0909552574157715,2.302734375,19.413084030151367,254016,1.0,182963,1.0,0.37493279037291694,0.2626105158556648,0.327355804178987,0.8125,0.20763936477824452,0.847653865814209,0.042356461155174406,0.2177903652191162,0.6904880007558579,0.8718825578689575,0.011723238043487072,0.014654045924544334,0.12640936004031242,0.7401698231697083,0.3723744750022888,0.16148272156715393,0.1338257080610022,0.005308847408741713,0.9851576994434137,0.1070187902560179,0.1655202639269809,0.05309759723015422,0.048909843913430714,0.0694423288832959,0.004187753316723504,-0.020532484969865192,-0.4198027089640117,0.3547176122665405,0.39960795640945435,0.13379275798797607,0.02220074273645878,9480,59980,113385,118
3F_Region2/000018,3F_Region2,/home/bgao491/SLABIM/sensor_data/3F_Region2/images/data/000018.png,/home/bgao491/PriorBIMDA/data/processed/slabim_504_r50/samples/3F_Region2/000018.npz,815,22.385120391845703,201009,0.7913241685563114,2.068371295928955,2.173828125,17.753358840942383,251298,0.9892998866213152,199838,0.9941743902014337,0.3082250724649466,0.22133758422447183,0.28054724326704633,0.8470122724771499,0.1660400950877678,0.8779857754707336,0.03591520855111893,0.1967156082391739,0.6833759122635278,0.8813688158988953,0.011094181798398495,0.013867725618183613,0.1818704333585286,0.7437781095504761,0.3543986976146698,0.15323719382286072,0.15742701525054467,0.0037064249627292156,0.9720670391061452,0.1138330870023797,0.13224118598984264,0.04098631663722074,0.037960513682196224,0.07130027632672324,0.003025802955024519,-0.03333976264452702,-0.8782748021706467,0.36789417266845703,0.40097811818122864,0.15642307698726654,0.03145400807261467,8058,70727,112752,9472
3F_Region2/000020,3F_Region2,/home/bgao491/SLABIM/sensor_data/3F_Region2/images/data/000020.png,/home/bgao491/PriorBIMDA/data/processed/slabim_504_r50/samples/3F_Region2/000020.npz,899,8.664608001708984,187153,0.7367764235323759,2.0703351497650146,1.9306640625,17.056697845458984,248111,0.9767534328546233,181248,0.9684482749408239,0.23428073171841896,0.17260635505288335,0.3311760681497175,0.8622016906738281,0.148266055787439,0.8883150219917297,0.029837211382165284,0.14805026352405548,0.7240630201804837,0.9167730808258057,0.026282668113708496,0.03285334259271622,0.24227607709750568,0.7646823525428772,0.32466042041778564,0.11349322646856308,0.18250108932461873,0.0036218073219060898,0.9764946346448646,0.11230774964520246,0.11867182754487277,0.03673175388869952,0.03350082753386284,0.07395587154037662,0.003230926354836683,-0.040455044006513785,-1.2075834235921958,0.40588581562042236,0.411567360162735,0.1688288152217865,0.0356362909078598,2070,99066,65001,21016
