epoch,train_total,train_robust_log_depth,train_depth,train_gradient,val_abs_rel,val_rmse,val_mae,val_delta1,val_stage1_abs_rel,val_raw_da3_abs_rel,optimizer_steps,skipped_steps,epoch_seconds
1,0.10624457980015757,0.09566297859040605,0.10508247992609289,0.0036676575062029844,0.09019708585580405,0.3221932053988876,0.20911802747940125,0.9417004036334509,0.06763275581357353,0.08903245378067473,438,1,434.41390817891806
2,0.0748444564403574,0.06713678981020783,0.07637029295682023,0.003531867196509552,0.06302995434986992,0.24942659064350467,0.12924170173383825,0.9527932725405125,0.06763275581357353,0.08903245378067473,877,1,433.1623488003388
3,0.06806123378105924,0.06097950521698227,0.07012289448195502,0.003471958153791879,0.062415356587569124,0.24796419770501998,0.12864763861231984,0.9524420794964581,0.06763275581357353,0.08903245378067473,1316,1,433.4925761120394
4,0.057057475236855996,0.05099191569977669,0.05997382141479716,0.0034088691309292593,0.06952555321121717,0.27441979928422716,0.1489240719075883,0.9501123806779466,0.06763275581357353,0.08903245378067473,1755,1,433.69219159707427
5,0.050159941639387806,0.04473754753841058,0.053548958455358515,0.003374911456203372,0.05843456481176005,0.24692624283590348,0.12113745973136834,0.9553961321614224,0.06763275581357353,0.08903245378067473,2194,1,434.02817699778825
6,0.04334422654785212,0.03856259875777308,0.047151647462986127,0.0033231515085595065,0.059602997388686484,0.24732541152996676,0.1237679276493256,0.9558159141071946,0.06763275581357353,0.08903245378067473,2633,1,433.8586907805875
7,0.03776370624082426,0.033513382136586924,0.041844951937477705,0.0032914437126690768,0.05537668232037608,0.2433165300715077,0.11432009786237261,0.9562088376157245,0.06763275581357353,0.08903245378067473,3072,1,434.0891353171319
8,0.03394964631701061,0.030070430251832942,0.03813582161575326,0.0032816964204418347,0.05561561552347152,0.24316024454486196,0.11513772781871555,0.9569308941315984,0.06763275581357353,0.08903245378067473,3511,1,434.02095401193947
9,0.032068830106595475,0.02837322068935142,0.036300206856288895,0.0032794359009438,0.0552635593181265,0.24167333462045046,0.11396832101226004,0.9569212370422359,0.06763275581357353,0.08903245378067473,3950,1,433.9545728089288
