test_region,method,status,successful_seed_count,planned_seed_count,successful_seeds,abs_rel_seed_std,rmse_seed_std,mae_seed_std,delta1_seed_std,delta2_seed_std,delta3_seed_std,abs_rel,rmse,mae,delta1,delta2,delta3,count
3F_Region2,base,complete,3,3,41;42;43,0.0,0.0,0.0,0.0,0.0,0.0,0.2443930288215983,0.5194995774765078,0.30063299950814576,0.717732563400476,0.9113662902990266,0.9468492318613696,31109033.0
3F_Region2,scaled,complete,3,3,41;42;43,0.0,0.0,0.0,0.0,0.0,1.3597399555105182e-16,0.1602613733461705,0.534196589011715,0.22986493497018487,0.7868217568832822,0.9118201777599452,0.9389572797071514,31109033.0
3F_Region2,direct_bim,complete,3,3,41;42;43,0.0,0.0,0.0,0.0,0.0,1.3597399555105182e-16,0.1586208763582182,0.535037478252583,0.22812983496043815,0.7931718417605588,0.9106565607487703,0.9389813241703783,31109033.0
3F_Region2,refined,complete,3,3,41;42;43,0.0016295031338644152,0.0015381939667728356,0.0015420957475791746,0.006381943840526146,0.0010530658356962266,0.0007038130763674936,0.1421571103346487,0.5106954737206165,0.20344709555091736,0.8250363380522522,0.9195360610105325,0.9414197584776529,31109033.0
3F_Region3,base,incomplete,1,3,42,0.0,0.0,0.0,0.0,0.0,0.0,0.19103422968751527,0.44753511984814404,0.2590449683446527,0.8267188576544907,0.9472648137231977,0.9683188783582144,28477969.0
3F_Region3,scaled,incomplete,1,3,42,0.0,0.0,0.0,0.0,0.0,0.0,0.11761878014138287,0.44359070865488415,0.18009818427997412,0.8966314276133948,0.9432144546544032,0.9561896425970546,28477969.0
3F_Region3,direct_bim,incomplete,1,3,42,0.0,0.0,0.0,0.0,0.0,0.0,0.11842450702453773,0.44540588715990154,0.18210725998818236,0.9063891108245816,0.9426601665308365,0.9560008650897822,28477969.0
3F_Region3,refined,incomplete,1,3,42,0.0,0.0,0.0,0.0,0.0,0.0,0.11183143182698799,0.442674932774122,0.17927584420683437,0.9081469257867371,0.941973495371106,0.9554042284405886,28477969.0
4F_Region2,base,incomplete,1,3,42,0.0,0.0,0.0,0.0,0.0,0.0,0.27929671576634313,0.6562420629572586,0.4460251437140878,0.5753281061140799,0.9706512638332228,0.9842253118579908,28732549.0
4F_Region2,scaled,incomplete,1,3,42,0.0,0.0,0.0,0.0,0.0,0.0,0.08805615364498336,0.4211089207914585,0.14176350208222505,0.9374135584002659,0.9674742397550596,0.9818614422270715,28732549.0
4F_Region2,direct_bim,incomplete,1,3,42,0.0,0.0,0.0,0.0,0.0,0.0,0.0825152287703432,0.4144156552237472,0.13181717556873215,0.9354927403064727,0.967770454337344,0.9820180590312402,28732549.0
4F_Region2,refined,incomplete,1,3,42,0.0,0.0,0.0,0.0,0.0,0.0,0.077653833980714,0.3901225123868832,0.1214932790043916,0.9518146475622472,0.9706091861185028,0.9829387222136121,28732549.0
4F_Region3,base,incomplete,1,3,42,0.0,0.0,0.0,0.0,0.0,0.0,0.2688344599602006,0.6445600796774449,0.4519985696165159,0.5743439254081919,0.9745487665434519,0.986644186870526,10987051.0
4F_Region3,scaled,incomplete,1,3,42,0.0,0.0,0.0,0.0,0.0,0.0,0.08200405026497212,0.44575774845254973,0.14851052783205224,0.9284671564735615,0.960854464041352,0.9762632393351046,10987051.0
4F_Region3,direct_bim,incomplete,1,3,42,0.0,0.0,0.0,0.0,0.0,0.0,0.07976222575578587,0.44844594342966665,0.14259889559023606,0.9285935780219824,0.9609392001548004,0.9760776572348667,10987051.0
4F_Region3,refined,incomplete,1,3,42,0.0,0.0,0.0,0.0,0.0,0.0,0.07340753958673646,0.4171862847686468,0.13242642641830388,0.9346675463689028,0.9665088475515404,0.9778988010522569,10987051.0
5F_Region2,base,incomplete,1,3,42,0.0,0.0,0.0,0.0,0.0,0.0,0.2449162762078928,0.47681047407723526,0.35332874012500276,0.6252506601194922,0.9793504210202715,0.9948071208873343,15327528.0
5F_Region2,scaled,incomplete,1,3,42,0.0,0.0,0.0,0.0,0.0,0.0,0.06747987080809881,0.23996555403766348,0.1006338100636878,0.9763774693479601,0.995339887814917,0.9972435215906962,15327528.0
5F_Region2,direct_bim,incomplete,1,3,42,0.0,0.0,0.0,0.0,0.0,0.0,0.05411382936128977,0.22705993245848682,0.08101295833016695,0.976357309541369,0.9953165963878846,0.9971969387366313,15327528.0
5F_Region2,refined,incomplete,1,3,42,0.0,0.0,0.0,0.0,0.0,0.0,0.051704158717543365,0.20797876570015497,0.07695728106918522,0.9867443726085511,0.9956874976839057,0.997220882584589,15327528.0
5F_Region3,base,incomplete,1,3,42,0.0,0.0,0.0,0.0,0.0,0.0,0.27719276547344374,0.5671586518076753,0.42914664765966937,0.48974854559134845,0.9389981461441728,0.9845033036918516,15964564.0
5F_Region3,scaled,incomplete,1,3,42,0.0,0.0,0.0,0.0,0.0,0.0,0.13058322730808652,0.46518169236273554,0.2158344205430054,0.8920879392634838,0.9431596127523433,0.9606729003059526,15964564.0
5F_Region3,direct_bim,incomplete,1,3,42,0.0,0.0,0.0,0.0,0.0,0.0,0.12667130411021962,0.46780009301724845,0.21072690617310652,0.8892799076755243,0.9432090347096231,0.9602591088613507,15964564.0
5F_Region3,refined,incomplete,1,3,42,0.0,0.0,0.0,0.0,0.0,0.0,0.09425163551651305,0.4082260308127198,0.16006569710050433,0.9227774714047937,0.9501569851829339,0.9650395087520085,15964564.0
