fold_index,fold_id,test_region,seed,status,failure_codes,failure_messages,checkpoint_selection,checkpoint_sha256,method,source_method,abs_rel,rmse,mae,delta1,delta2,delta3,count
2,fold_02_4F_Region2,4F_Region2,41,failed,missing_artifact,selected checkpoint: historical_outputs/slabim_region_cv/folds/fold_02_4F_Region2/seed_41/best.pt; evaluation summary: historical_outputs/slabim_region_cv/folds/fold_02_4F_Region2/seed_41/evaluation_test/summary.json; per-frame evaluation: historical_outputs/slabim_region_cv/folds/fold_02_4F_Region2/seed_41/evaluation_test/per_frame.csv,best,,,,,,,,,,
2,fold_02_4F_Region2,4F_Region2,42,success,,,best,1676c73a178e9c0219445f17b563d680b0805721c0d624e2bca5dfc03f1ab26f,base,base,0.27929671576634313,0.6562420629572586,0.4460251437140878,0.5753281061140799,0.9706512638332228,0.9842253118579908,28732549.0
2,fold_02_4F_Region2,4F_Region2,42,success,,,best,1676c73a178e9c0219445f17b563d680b0805721c0d624e2bca5dfc03f1ab26f,scaled,global_scale,0.08805615364498336,0.4211089207914585,0.14176350208222505,0.9374135584002659,0.9674742397550596,0.9818614422270715,28732549.0
2,fold_02_4F_Region2,4F_Region2,42,success,,,best,1676c73a178e9c0219445f17b563d680b0805721c0d624e2bca5dfc03f1ab26f,direct_bim,previous_scale_local,0.0825152287703432,0.4144156552237472,0.13181717556873215,0.9354927403064727,0.967770454337344,0.9820180590312402,28732549.0
2,fold_02_4F_Region2,4F_Region2,42,success,,,best,1676c73a178e9c0219445f17b563d680b0805721c0d624e2bca5dfc03f1ab26f,refined,refined,0.077653833980714,0.3901225123868832,0.1214932790043916,0.9518146475622472,0.9706091861185028,0.9829387222136121,28732549.0
2,fold_02_4F_Region2,4F_Region2,43,failed,missing_artifact,selected checkpoint: historical_outputs/slabim_region_cv/folds/fold_02_4F_Region2/seed_43/best.pt; evaluation summary: historical_outputs/slabim_region_cv/folds/fold_02_4F_Region2/seed_43/evaluation_test/summary.json; per-frame evaluation: historical_outputs/slabim_region_cv/folds/fold_02_4F_Region2/seed_43/evaluation_test/per_frame.csv,best,,,,,,,,,,
3,fold_03_4F_Region3,4F_Region3,41,failed,missing_artifact,selected checkpoint: historical_outputs/slabim_region_cv/folds/fold_03_4F_Region3/seed_41/best.pt; evaluation summary: historical_outputs/slabim_region_cv/folds/fold_03_4F_Region3/seed_41/evaluation_test/summary.json; per-frame evaluation: historical_outputs/slabim_region_cv/folds/fold_03_4F_Region3/seed_41/evaluation_test/per_frame.csv,best,,,,,,,,,,
3,fold_03_4F_Region3,4F_Region3,42,success,,,best,9b4415ecdbbf78c3168bf00e40f0f955df223323c03608af13c25cf5421e3460,base,base,0.2688344599602006,0.6445600796774449,0.4519985696165159,0.5743439254081919,0.9745487665434519,0.986644186870526,10987051.0
3,fold_03_4F_Region3,4F_Region3,42,success,,,best,9b4415ecdbbf78c3168bf00e40f0f955df223323c03608af13c25cf5421e3460,scaled,global_scale,0.08200405026497212,0.44575774845254973,0.14851052783205224,0.9284671564735615,0.960854464041352,0.9762632393351046,10987051.0
3,fold_03_4F_Region3,4F_Region3,42,success,,,best,9b4415ecdbbf78c3168bf00e40f0f955df223323c03608af13c25cf5421e3460,direct_bim,previous_scale_local,0.07976222575578587,0.44844594342966665,0.14259889559023606,0.9285935780219824,0.9609392001548004,0.9760776572348667,10987051.0
3,fold_03_4F_Region3,4F_Region3,42,success,,,best,9b4415ecdbbf78c3168bf00e40f0f955df223323c03608af13c25cf5421e3460,refined,refined,0.07340753958673646,0.4171862847686468,0.13242642641830388,0.9346675463689028,0.9665088475515404,0.9778988010522569,10987051.0
3,fold_03_4F_Region3,4F_Region3,43,failed,missing_artifact,selected checkpoint: historical_outputs/slabim_region_cv/folds/fold_03_4F_Region3/seed_43/best.pt; evaluation summary: historical_outputs/slabim_region_cv/folds/fold_03_4F_Region3/seed_43/evaluation_test/summary.json; per-frame evaluation: historical_outputs/slabim_region_cv/folds/fold_03_4F_Region3/seed_43/evaluation_test/per_frame.csv,best,,,,,,,,,,
4,fold_04_5F_Region2,5F_Region2,41,failed,missing_artifact,selected checkpoint: historical_outputs/slabim_region_cv/folds/fold_04_5F_Region2/seed_41/best.pt; evaluation summary: historical_outputs/slabim_region_cv/folds/fold_04_5F_Region2/seed_41/evaluation_test/summary.json; per-frame evaluation: historical_outputs/slabim_region_cv/folds/fold_04_5F_Region2/seed_41/evaluation_test/per_frame.csv,best,,,,,,,,,,
4,fold_04_5F_Region2,5F_Region2,42,success,,,best,1de0ece1fb2f41fc7ce8c9b253637f3853358db48c3cbbbe52e0c57bc45d95b5,base,base,0.2449162762078928,0.47681047407723526,0.35332874012500276,0.6252506601194922,0.9793504210202715,0.9948071208873343,15327528.0
4,fold_04_5F_Region2,5F_Region2,42,success,,,best,1de0ece1fb2f41fc7ce8c9b253637f3853358db48c3cbbbe52e0c57bc45d95b5,scaled,global_scale,0.06747987080809881,0.23996555403766348,0.1006338100636878,0.9763774693479601,0.995339887814917,0.9972435215906962,15327528.0
4,fold_04_5F_Region2,5F_Region2,42,success,,,best,1de0ece1fb2f41fc7ce8c9b253637f3853358db48c3cbbbe52e0c57bc45d95b5,direct_bim,previous_scale_local,0.05411382936128977,0.22705993245848682,0.08101295833016695,0.976357309541369,0.9953165963878846,0.9971969387366313,15327528.0
4,fold_04_5F_Region2,5F_Region2,42,success,,,best,1de0ece1fb2f41fc7ce8c9b253637f3853358db48c3cbbbe52e0c57bc45d95b5,refined,refined,0.051704158717543365,0.20797876570015497,0.07695728106918522,0.9867443726085511,0.9956874976839057,0.997220882584589,15327528.0
4,fold_04_5F_Region2,5F_Region2,43,failed,missing_artifact,selected checkpoint: historical_outputs/slabim_region_cv/folds/fold_04_5F_Region2/seed_43/best.pt; evaluation summary: historical_outputs/slabim_region_cv/folds/fold_04_5F_Region2/seed_43/evaluation_test/summary.json; per-frame evaluation: historical_outputs/slabim_region_cv/folds/fold_04_5F_Region2/seed_43/evaluation_test/per_frame.csv,best,,,,,,,,,,
5,fold_05_5F_Region3,5F_Region3,41,failed,missing_artifact,selected checkpoint: historical_outputs/slabim_region_cv/folds/fold_05_5F_Region3/seed_41/best.pt; evaluation summary: historical_outputs/slabim_region_cv/folds/fold_05_5F_Region3/seed_41/evaluation_test/summary.json; per-frame evaluation: historical_outputs/slabim_region_cv/folds/fold_05_5F_Region3/seed_41/evaluation_test/per_frame.csv,best,,,,,,,,,,
5,fold_05_5F_Region3,5F_Region3,42,success,,,best,00414197ac6839572f72d6e7c2860f0118d063faad1155f15a1b12283b8af378,base,base,0.27719276547344374,0.5671586518076753,0.42914664765966937,0.48974854559134845,0.9389981461441728,0.9845033036918516,15964564.0
5,fold_05_5F_Region3,5F_Region3,42,success,,,best,00414197ac6839572f72d6e7c2860f0118d063faad1155f15a1b12283b8af378,scaled,global_scale,0.13058322730808652,0.46518169236273554,0.2158344205430054,0.8920879392634838,0.9431596127523433,0.9606729003059526,15964564.0
5,fold_05_5F_Region3,5F_Region3,42,success,,,best,00414197ac6839572f72d6e7c2860f0118d063faad1155f15a1b12283b8af378,direct_bim,previous_scale_local,0.12667130411021962,0.46780009301724845,0.21072690617310652,0.8892799076755243,0.9432090347096231,0.9602591088613507,15964564.0
5,fold_05_5F_Region3,5F_Region3,42,success,,,best,00414197ac6839572f72d6e7c2860f0118d063faad1155f15a1b12283b8af378,refined,refined,0.09425163551651305,0.4082260308127198,0.16006569710050433,0.9227774714047937,0.9501569851829339,0.9650395087520085,15964564.0
5,fold_05_5F_Region3,5F_Region3,43,failed,missing_artifact,selected checkpoint: historical_outputs/slabim_region_cv/folds/fold_05_5F_Region3/seed_43/best.pt; evaluation summary: historical_outputs/slabim_region_cv/folds/fold_05_5F_Region3/seed_43/evaluation_test/summary.json; per-frame evaluation: historical_outputs/slabim_region_cv/folds/fold_05_5F_Region3/seed_43/evaluation_test/per_frame.csv,best,,,,,,,,,,
