scene_id,panorama_id,frame_id,camera_index,yaw_index,rgb_path,depth_path,height,width,process_height,process_width,fx_process_px,fy_process_px,focal_scale,valid_pixels,total_pixels,valid_fraction,gt_min_m,gt_mean_m,gt_median_m,gt_max_m,prediction_min_m,prediction_mean_m,prediction_median_m,prediction_max_m,abs_rel,sq_rel,rmse_m,mae_m,rmse_log,mean_log_error,mean_abs_log_error,log10_error,silog_x100,delta1,delta2,delta3,canonical_abs_rel,canonical_rmse_m,oracle_median_scale,oracle_scaled_abs_rel,inference_seconds,status,error
1pXnuDYAj8r,0d3a3b42009441e2a02200423049d804,0d3a3b42009441e2a02200423049d804_i0_0,0,0,/home/bgao491/Matterport3D/v1/scans/1pXnuDYAj8r/undistorted_color_images/0d3a3b42009441e2a02200423049d804_i0_0.jpg,/home/bgao491/Matterport3D/v1/scans/1pXnuDYAj8r/undistorted_depth_images/0d3a3b42009441e2a02200423049d804_d0_0.png,1024,1280,406,504,422.1984375,425.0907323360443,1.4121486163934072,1231649,1310720,0.9396736145019531,0.7507500052452087,1.703354076892169,1.4730000495910645,5.355500221252441,0.7385562658309937,1.629208092475277,1.4414074420928955,3.9795830249786377,0.050822307743780146,0.019573246712545258,0.2439324367565466,0.11222004628711645,0.0842458122254152,-0.02625905732718936,0.05123021980987836,0.022249001770120826,8.00488524952563,0.9722908068776088,0.9959639475207628,0.9986059339958057,0.31099869167253485,0.6727779006056503,1.0201333554437784,0.048956638157464,0.7516962690278888,ok,
1pXnuDYAj8r,0d3a3b42009441e2a02200423049d804,0d3a3b42009441e2a02200423049d804_i0_1,0,1,/home/bgao491/Matterport3D/v1/scans/1pXnuDYAj8r/undistorted_color_images/0d3a3b42009441e2a02200423049d804_i0_1.jpg,/home/bgao491/Matterport3D/v1/scans/1pXnuDYAj8r/undistorted_depth_images/0d3a3b42009441e2a02200423049d804_d0_1.png,1024,1280,406,504,422.1984375,425.0907323360443,1.4121486163934072,1234515,1310720,0.9418601989746094,0.6150000095367432,1.6468376861458387,1.3952499628067017,5.458000183105469,0.6749608516693115,1.7290905917205464,1.4313750267028809,5.656926155090332,0.057897904533138915,0.00911136160857629,0.13150649227424424,0.0884537634078758,0.07111695833249482,0.05117042435822829,0.05527237963754408,0.02400448947824706,4.938835321677206,0.9956420132602682,0.9981401603058692,1.0,0.25456577312043666,0.49265435619411596,0.9539883427765701,0.037961952974480684,0.27384115708991885,ok,
1pXnuDYAj8r,0d3a3b42009441e2a02200423049d804,0d3a3b42009441e2a02200423049d804_i0_2,0,2,/home/bgao491/Matterport3D/v1/scans/1pXnuDYAj8r/undistorted_color_images/0d3a3b42009441e2a02200423049d804_i0_2.jpg,/home/bgao491/Matterport3D/v1/scans/1pXnuDYAj8r/undistorted_depth_images/0d3a3b42009441e2a02200423049d804_d0_2.png,1024,1280,406,504,422.1984375,425.0907323360443,1.4121486163934072,1183476,1310720,0.9029205322265625,0.5515000224113464,0.8536292096791024,0.8042500019073486,1.5125000476837158,0.6458009481430054,0.9961148502691259,0.9431527554988861,1.6723994016647339,0.16951059864757798,0.024323106529378732,0.1465591775529835,0.14251371678571875,0.1576382112127176,0.1563699851297072,0.1563931391152208,0.06792067732526796,1.9955785749514203,0.9924814698396925,1.0,1.0,0.17183810300975416,0.1557162084139894,0.8520795951777008,0.010209595471431727,0.2720474279485643,ok,
1pXnuDYAj8r,0d3a3b42009441e2a02200423049d804,0d3a3b42009441e2a02200423049d804_i0_3,0,3,/home/bgao491/Matterport3D/v1/scans/1pXnuDYAj8r/undistorted_color_images/0d3a3b42009441e2a02200423049d804_i0_3.jpg,/home/bgao491/Matterport3D/v1/scans/1pXnuDYAj8r/undistorted_depth_images/0d3a3b42009441e2a02200423049d804_d0_3.png,1024,1280,406,504,422.1984375,425.0907323360443,1.4121486163934072,1224832,1310720,0.93447265625,0.5572500228881836,1.533659331643601,1.3907500505447388,3.664249897003174,0.6331430673599243,1.6160466453515123,1.416398823261261,3.938007116317749,0.07177785684542422,0.011083087818564355,0.13317873502420716,0.10056863288727089,0.08578654609219165,0.05371094070500531,0.06816752233829856,0.029604778796539707,6.689145191286496,0.9937109742397324,0.9974755721601003,1.0,0.2525597827785037,0.43788596510179045,0.9407775686415905,0.05153494216544966,0.2689155819825828,ok,
1pXnuDYAj8r,0d3a3b42009441e2a02200423049d804,0d3a3b42009441e2a02200423049d804_i0_4,0,4,/home/bgao491/Matterport3D/v1/scans/1pXnuDYAj8r/undistorted_color_images/0d3a3b42009441e2a02200423049d804_i0_4.jpg,/home/bgao491/Matterport3D/v1/scans/1pXnuDYAj8r/undistorted_depth_images/0d3a3b42009441e2a02200423049d804_d0_4.png,1024,1280,406,504,422.1984375,425.0907323360443,1.4121486163934072,1270860,1310720,0.9695892333984375,1.5207500457763672,2.6903072343121495,2.5139999389648438,7.4357500076293945,1.475770354270935,2.6709890359942445,2.49248206615448,6.0811967849731445,0.04193438282114348,0.012563898823827108,0.21482532839263996,0.11519874423981959,0.0670592047393263,-0.013813241410436935,0.042683476424925156,0.018537198279792524,6.562111932912966,0.9913530994759454,0.9963206017972082,0.9979100766410147,0.30081498909868903,0.8503570595295062,1.0153264286114476,0.04091170011254775,0.2814231510274112,ok,
1pXnuDYAj8r,0d3a3b42009441e2a02200423049d804,0d3a3b42009441e2a02200423049d804_i0_5,0,5,/home/bgao491/Matterport3D/v1/scans/1pXnuDYAj8r/undistorted_color_images/0d3a3b42009441e2a02200423049d804_i0_5.jpg,/home/bgao491/Matterport3D/v1/scans/1pXnuDYAj8r/undistorted_depth_images/0d3a3b42009441e2a02200423049d804_d0_5.png,1024,1280,406,504,422.1984375,425.0907323360443,1.4121486163934072,1236085,1310720,0.9430580139160156,0.7954999804496765,2.40382337948191,2.2065000534057617,4.959750175476074,0.9132397174835205,2.4594815535407863,2.3200058937072754,4.405997276306152,0.06580811716885548,0.017566299790366613,0.20976581161456068,0.1550753910185561,0.08379849891352044,0.038320627860482966,0.06334837130977801,0.027511848097394875,7.45232708658018,0.9894813058972481,0.9970115323784368,0.9986044649033036,0.26546626913921095,0.7701306788463668,0.9557207006264701,0.03667942268773713,0.27583776600658894,ok,
1pXnuDYAj8r,0d3a3b42009441e2a02200423049d804,0d3a3b42009441e2a02200423049d804_i1_0,1,0,/home/bgao491/Matterport3D/v1/scans/1pXnuDYAj8r/undistorted_color_images/0d3a3b42009441e2a02200423049d804_i1_0.jpg,/home/bgao491/Matterport3D/v1/scans/1pXnuDYAj8r/undistorted_depth_images/0d3a3b42009441e2a02200423049d804_d1_0.png,1024,1280,406,504,421.39123077392577,424.3651349544525,1.4095939428806306,1207436,1310720,0.9212005615234375,0.7827500104904175,1.82538320403647,1.0219999551773071,7.64424991607666,0.7340030074119568,1.8514958856015638,1.0077075958251953,7.196107387542725,0.05744748392895914,0.057299583771865434,0.30156271255697176,0.08393337465906246,0.10751938002555525,0.01152234946851658,0.05011915482649225,0.02176647237880031,10.690019898861342,0.9893824600227259,0.991910130226364,0.9940079639831843,0.29199892135632854,0.7688220063312221,1.0130073107640536,0.0566010104630188,0.26256462885066867,ok,
1pXnuDYAj8r,0d3a3b42009441e2a02200423049d804,0d3a3b42009441e2a02200423049d804_i1_1,1,1,/home/bgao491/Matterport3D/v1/scans/1pXnuDYAj8r/undistorted_color_images/0d3a3b42009441e2a02200423049d804_i1_1.jpg,/home/bgao491/Matterport3D/v1/scans/1pXnuDYAj8r/undistorted_depth_images/0d3a3b42009441e2a02200423049d804_d1_1.png,1024,1280,406,504,421.39123077392577,424.3651349544525,1.4095939428806306,1271356,1310720,0.9699676513671875,0.6154999732971191,2.0143527038477287,1.1357500553131104,6.615749835968018,0.6106814742088318,1.967864831320192,1.0867487788200378,6.566644668579102,0.05326049567267878,0.01181055369258789,0.1829747690700076,0.10314194645282837,0.07140766046724621,-0.03576556551682122,0.05381243455473876,0.023370443384902927,6.18051639967688,0.9880529135820336,0.9991568058041964,0.999746727116559,0.3149771608388242,0.8016017260796272,1.0473987316268887,0.039064471897459624,0.2564857848919928,ok,
1pXnuDYAj8r,0d3a3b42009441e2a02200423049d804,0d3a3b42009441e2a02200423049d804_i1_2,1,2,/home/bgao491/Matterport3D/v1/scans/1pXnuDYAj8r/undistorted_color_images/0d3a3b42009441e2a02200423049d804_i1_2.jpg,/home/bgao491/Matterport3D/v1/scans/1pXnuDYAj8r/undistorted_depth_images/0d3a3b42009441e2a02200423049d804_d1_2.png,1024,1280,406,504,421.39123077392577,424.3651349544525,1.4095939428806306,1310140,1310720,0.9995574951171875,0.5632500052452087,0.6061212142712396,0.6052500009536743,0.6759999990463257,1.1301015615463257,1.283478130228324,1.2777437567710876,1.4977086782455444,1.1165145114147088,0.7588960877423901,0.679336889472545,0.6773569159570844,0.7498872511763576,0.7494177792558167,0.7494177792558167,0.32546800617099075,2.653076727336667,0.0,0.0,0.0,0.5015065344283957,0.3060408154735182,0.47510470010014544,0.02306126607767613,0.2728090409655124,ok,
1pXnuDYAj8r,0d3a3b42009441e2a02200423049d804,0d3a3b42009441e2a02200423049d804_i1_3,1,3,/home/bgao491/Matterport3D/v1/scans/1pXnuDYAj8r/undistorted_color_images/0d3a3b42009441e2a02200423049d804_i1_3.jpg,/home/bgao491/Matterport3D/v1/scans/1pXnuDYAj8r/undistorted_depth_images/0d3a3b42009441e2a02200423049d804_d1_3.png,1024,1280,406,504,421.39123077392577,424.3651349544525,1.4095939428806306,1293534,1310720,0.9868881225585937,0.5634999871253967,1.3718524810517014,0.9152500033378601,3.41825008392334,0.4820617437362671,1.3658196791802892,0.9390575289726257,3.2934858798980713,0.05274128896446777,0.011267062891299695,0.12348314718185703,0.06565241751184951,0.08071878688146022,-0.01724638346180306,0.051516617465390886,0.02237338269153996,7.885483379668642,0.9864441135679464,0.9923898405453587,0.9984035982046084,0.3048543313949619,0.48259199446208073,1.0290636997557123,0.050110061451869414,0.27801326592452824,ok,
