epoch,train_total,train_normalized_disparity,train_robust_log_depth,train_depth,train_gradient,val_abs_rel,val_rmse,val_mae,val_delta1,val_stage1_abs_rel,val_raw_da3_abs_rel,optimizer_steps,skipped_steps,epoch_seconds
1,3.992246113362665,3.9381137311403336,0.5305744683889579,0.5404871327497588,0.004183669763941161,0.3670327389621311,1.2431969888568417,0.9184969756736151,0.2779305084399453,0.06763275581357353,0.08903245378067473,439,0,427.2834366718307
2,4.271975185469226,4.214994301336259,0.5592279195896027,0.5691619912641632,0.00323442614150071,0.36623848373981344,1.2423410290140589,0.9147510260415096,0.2850686649745897,0.06763275581357353,0.08903245378067473,878,0,426.4906416973099
3,nan,nan,0.5786243009647164,0.5885677435400822,0.003939070605718187,0.3733699080560826,1.260526164291497,0.9359130391423474,0.26437605457936986,0.06763275581357353,0.08903245378067473,1028,2279,293.6010246211663
4,nan,nan,0.597375639909278,0.6073262786872035,0.003482276325182672,0.3733699080560826,1.260526164291497,0.9359130391423474,0.26437605457936986,0.06763275581357353,0.08903245378067473,1028,5763,226.26208688132465
5,nan,nan,0.5985459713929392,0.6084970966283246,0.003489026175161409,0.3733699080560826,1.260526164291497,0.9359130391423474,0.26437605457936986,0.06763275581357353,0.08903245378067473,1028,9225,224.9164530467242
6,nan,nan,0.5999323186181439,0.6098837171767822,0.003486886921820071,0.3733699080560826,1.260526164291497,0.9359130391423474,0.26437605457936986,0.06763275581357353,0.08903245378067473,1028,12702,224.1923644291237
7,nan,nan,0.5975229578635656,0.6074746002852747,0.0034859593168322872,0.3733699080560826,1.260526164291497,0.9359130391423474,0.26437605457936986,0.06763275581357353,0.08903245378067473,1028,16185,224.48125553596765
