scene_id,panorama_id,frame_id,camera_index,yaw_index,rgb_path,depth_path,height,width,process_height,process_width,focal_scale,gt_valid_pixels,gt_valid_fraction,camera_x,camera_y,camera_z,camera_in_bim_aabb,bim_hit_pixels,bim_hit_fraction,three_rule_pass,filter_reasons,deterministic_scale,deterministic_scale_support,learned_scale,learned_log_scale,oracle_frame_scale,scale_abs_log_error,confidence_source,round_1_log_scale,round_2_log_scale,round_3_log_scale,raw_abs_rel,raw_sq_rel,raw_rmse_m,raw_mae_m,raw_rmse_log,raw_mean_log_error,raw_mean_abs_log_error,raw_log10_error,raw_silog_x100,raw_delta1,raw_delta2,raw_delta3,scale_abs_rel,scale_sq_rel,scale_rmse_m,scale_mae_m,scale_rmse_log,scale_mean_log_error,scale_mean_abs_log_error,scale_log10_error,scale_silog_x100,scale_delta1,scale_delta2,scale_delta3,scale_low_abs_rel,scale_low_sq_rel,scale_low_rmse_m,scale_low_mae_m,scale_low_rmse_log,scale_low_mean_log_error,scale_low_mean_abs_log_error,scale_low_log10_error,scale_low_silog_x100,scale_low_delta1,scale_low_delta2,scale_low_delta3,final_abs_rel,final_sq_rel,final_rmse_m,final_mae_m,final_rmse_log,final_mean_log_error,final_mean_abs_log_error,final_log10_error,final_silog_x100,final_delta1,final_delta2,final_delta3,oracle_frame_scale_abs_rel,oracle_frame_scale_sq_rel,oracle_frame_scale_rmse_m,oracle_frame_scale_mae_m,oracle_frame_scale_rmse_log,oracle_frame_scale_mean_log_error,oracle_frame_scale_mean_abs_log_error,oracle_frame_scale_log10_error,oracle_frame_scale_silog_x100,oracle_frame_scale_delta1,oracle_frame_scale_delta2,oracle_frame_scale_delta3,bim_render_seconds,da3_inference_seconds,model_inference_seconds,status,error
HxpKQynjfin,02f11a6dcac44f42936018d2c9b73443,02f11a6dcac44f42936018d2c9b73443_i0_0,0,0,/mnt/priorbimda-data/PriorBIMDA-Datasets/Matterport3D/v1/scans/HxpKQynjfin/undistorted_color_images/02f11a6dcac44f42936018d2c9b73443_i0_0.jpg,/mnt/priorbimda-data/PriorBIMDA-Datasets/Matterport3D/v1/scans/HxpKQynjfin/undistorted_depth_images/02f11a6dcac44f42936018d2c9b73443_d0_0.png,1024,1280,406,504,1.4167452247142793,1212457,0.9250312805175781,1.4022300243377686,-3.4042000770568848,1.1494699716567993,True,204624,1.0,True,,1.0,204624,0.8920280337333679,-0.11425771894376922,0.8731132884019095,0.021432243543691373,log-depth Laplacian fallback,,,,0.1448428201617108,0.03464604688864388,0.22216447247446355,0.2001154346891544,0.14491973420647816,0.13245190017199693,0.1336987527656379,0.05806463056346362,5.880666206565064,0.9808339594723772,0.9974827973280702,1.0,0.04884282697492184,0.006005635135791654,0.09880113053540862,0.07131727328496287,0.06155689842165854,0.018194181327392398,0.04789466627556312,0.020800389276074832,5.880666211510694,0.9968089589981335,1.0,1.0,0.04884282697492184,0.006005635135791654,0.09880113053540862,0.07131727328496287,0.06155689842165854,0.018194181327392398,0.04789466627556312,0.020800389276074832,5.880666211510694,0.9968089589981335,1.0,1.0,0.03953512037130818,0.005048471289602122,0.0895900218567741,0.058124663855107214,0.056584856962231346,0.019888677631790648,0.03853535313588232,0.016735691225106868,5.297439513099599,0.9966910166711067,0.9999942265993763,1.0,0.04550059660844737,0.005387203375130397,0.09644274813211219,0.06589363276326904,0.05889574390384734,-0.003238078134925124,0.04555501027236028,0.019784289584332038,5.880666203738902,0.9969227774675721,1.0,1.0,0.013944312930107117,0.302155994810164,0.05156599450856447,ok,
HxpKQynjfin,02f11a6dcac44f42936018d2c9b73443,02f11a6dcac44f42936018d2c9b73443_i0_1,0,1,/mnt/priorbimda-data/PriorBIMDA-Datasets/Matterport3D/v1/scans/HxpKQynjfin/undistorted_color_images/02f11a6dcac44f42936018d2c9b73443_i0_1.jpg,/mnt/priorbimda-data/PriorBIMDA-Datasets/Matterport3D/v1/scans/HxpKQynjfin/undistorted_depth_images/02f11a6dcac44f42936018d2c9b73443_d0_1.png,1024,1280,406,504,1.4167452247142793,1119223,0.8538993835449219,1.3876800537109375,-3.403820037841797,1.1494499444961548,True,204624,1.0,True,,1.0,204624,0.8679670691490173,-0.14160150380989336,0.8374021245523234,0.03584938450859032,log-depth Laplacian fallback,,,,0.18564704564516032,0.05739461450206933,0.3023054307611796,0.2806192400565345,0.17566286742195783,0.16918103077125418,0.16918105141783646,0.07347439707335664,4.727813255703193,0.9231395351953989,1.0,1.0,0.047611665861922,0.005278737362347395,0.09536074526034628,0.07794306819389682,0.054734377905006446,0.027579526881478435,0.046612855764447424,0.020243706044251703,4.727813259469822,0.9999865978451122,1.0,1.0,0.047611665861922,0.005278737362347395,0.09536074526034628,0.07794306819389682,0.054734377905006446,0.027579526881478435,0.046612855764447424,0.020243706044251703,4.727813259469822,0.9999865978451122,1.0,1.0,0.04286037899875219,0.003855757041882903,0.08079200691992787,0.0683049844593088,0.04752165291929336,0.027694824802991177,0.042131333652277836,0.018297405720409034,3.861740767210311,0.999975876121202,1.0,1.0,0.038741876433259645,0.0038028066078312256,0.08303588990158704,0.06308991740321515,0.04799596585076559,-0.008269880484513551,0.03924439069919452,0.01704362232631547,4.727813252149157,1.0,1.0,1.0,0.007653140462934971,0.06479560118168592,0.01746750809252262,ok,
HxpKQynjfin,02f11a6dcac44f42936018d2c9b73443,02f11a6dcac44f42936018d2c9b73443_i0_2,0,2,/mnt/priorbimda-data/PriorBIMDA-Datasets/Matterport3D/v1/scans/HxpKQynjfin/undistorted_color_images/02f11a6dcac44f42936018d2c9b73443_i0_2.jpg,/mnt/priorbimda-data/PriorBIMDA-Datasets/Matterport3D/v1/scans/HxpKQynjfin/undistorted_depth_images/02f11a6dcac44f42936018d2c9b73443_d0_2.png,1024,1280,406,504,1.4167452247142793,1116146,0.8515518188476563,1.3807400465011597,-3.3910300731658936,1.149440050125122,True,204624,1.0,True,,1.0,204624,0.9051909446716309,-0.09960936894973522,0.8886346687173942,0.018459705304719354,log-depth Laplacian fallback,,,,0.12299439132214024,0.027085665442835763,0.21816204844542403,0.20741321465964144,0.11851104259468201,0.11562808609409421,0.11562808609409421,0.050216639743699304,2.5981010817427275,0.9998503779971437,0.9998503779971437,0.9998503779971437,0.024586615348717585,0.0016025981897081513,0.04756808673239495,0.038759554501021136,0.030522323467768765,0.016018717181759935,0.02419958519561966,0.010509746314805241,2.598101094495549,0.9998503779971437,0.9998503779971437,0.9998503779971437,0.024586615348717585,0.0016025981897081513,0.04756808673239495,0.038759554501021136,0.030522323467768765,0.016018717181759935,0.02419958519561966,0.010509746314805241,2.598101094495549,0.9998503779971437,0.9998503779971437,0.9998503779971437,0.021972559798596244,0.001472377260718174,0.04475407405357144,0.034662914198946196,0.02926097587559449,0.018406609179263594,0.021524857329593895,0.009348126761997394,2.2746460113916007,0.9998503779971437,0.9998503779971437,0.9998503779971437,0.01824386878960837,0.001046218965287124,0.035558910345481705,0.026979318450238373,0.026095426292091307,-0.0024409735448805794,0.01823567129178545,0.007919651415823965,2.598101078709532,0.9998503779971437,0.9998503779971437,0.9998503779971437,0.008007914759218693,0.06540196295827627,0.017375565133988857,ok,
HxpKQynjfin,02f11a6dcac44f42936018d2c9b73443,02f11a6dcac44f42936018d2c9b73443_i0_3,0,3,/mnt/priorbimda-data/PriorBIMDA-Datasets/Matterport3D/v1/scans/HxpKQynjfin/undistorted_color_images/02f11a6dcac44f42936018d2c9b73443_i0_3.jpg,/mnt/priorbimda-data/PriorBIMDA-Datasets/Matterport3D/v1/scans/HxpKQynjfin/undistorted_depth_images/02f11a6dcac44f42936018d2c9b73443_d0_3.png,1024,1280,406,504,1.4167452247142793,1152832,0.879541015625,1.388350009918213,-3.3786299228668213,1.149459958076477,True,204624,1.0,True,,1.0,204624,0.8043076395988464,-0.2177734466728044,0.8040899544679603,0.0002706857222596337,log-depth Laplacian fallback,,,,0.23941299518977385,0.11229593935914134,0.4649038989199813,0.39293300717190544,0.2230801463766756,0.21197311447055714,0.21213613626835728,0.0921295533936238,6.951367095105167,0.5230736135013602,0.997126207461278,0.9981506412035752,0.05387343844609096,0.008489158192197473,0.11752747111799297,0.08277823343817806,0.06975524555673782,-0.005800332089788624,0.05374905163583721,0.023342916532977046,6.95136708160989,0.9960037542330539,0.9981237509021262,0.9990675137400766,0.05387343844609096,0.008489158192197473,0.11752747111799297,0.08277823343817806,0.06975524555673782,-0.005800332089788624,0.05374905163583721,0.023342916532977046,6.95136708160989,0.9960037542330539,0.9981237509021262,0.9990675137400766,0.029487343029256752,0.00399715208250882,0.07479915188880323,0.04175462708436997,0.047687056642054,-0.007701520970643396,0.029382547383759023,0.012760678193027362,4.706104488769036,0.9962206115028035,0.9984342905124077,0.9995099025703659,0.05385850783149692,0.0084781922913952,0.11736644666088798,0.08269016814776903,0.0697782743747102,-0.006071006757625593,0.05374870115874792,0.023342764322711134,6.951367096953809,0.9960054890912119,0.9981246183312052,0.9990683811691556,0.008061632513999939,0.06145084835588932,0.017350330017507076,ok,
HxpKQynjfin,02f11a6dcac44f42936018d2c9b73443,02f11a6dcac44f42936018d2c9b73443_i0_4,0,4,/mnt/priorbimda-data/PriorBIMDA-Datasets/Matterport3D/v1/scans/HxpKQynjfin/undistorted_color_images/02f11a6dcac44f42936018d2c9b73443_i0_4.jpg,/mnt/priorbimda-data/PriorBIMDA-Datasets/Matterport3D/v1/scans/HxpKQynjfin/undistorted_depth_images/02f11a6dcac44f42936018d2c9b73443_d0_4.png,1024,1280,406,504,1.4167452247142793,1213416,0.925762939453125,1.4028899669647217,-3.379009962081909,1.1494899988174438,True,204624,1.0,True,,1.0,204624,0.8705136775970459,-0.1386718075514999,0.8664204877619517,0.004713129022112933,log-depth Laplacian fallback,,,,0.15896434929476203,0.05217844956245126,0.2810025573148884,0.2178111740513598,0.1697523530198714,0.13887501077815215,0.1430175595685069,0.06211173693587215,9.761963294927495,0.8120215985284519,0.9982619316046599,0.9985446046533093,0.07440005903766735,0.014860182171201386,0.13137478570895542,0.09482119125547721,0.09761984434711961,0.0002032031968324467,0.07313798394865391,0.031763422846428996,9.761963285536703,0.9924180989866624,0.99843252437746,0.9986772879210427,0.07440005903766735,0.014860182171201386,0.13137478570895542,0.09482119125547721,0.09761984434711961,0.0002032031968324467,0.07313798394865391,0.031763422846428996,9.761963285536703,0.9924180989866624,0.99843252437746,0.9986772879210427,0.05023099959508413,0.011393934683322865,0.10551175264613644,0.059037410994507926,0.08250978876581835,0.001543390415528334,0.04823261805054058,0.020947159867096953,8.249535252488602,0.987355531820909,0.9981399618927063,0.9986591572881848,0.07396195066719252,0.01470184004549488,0.13019200786086416,0.09408412442385737,0.09772375334996505,-0.004509903116075994,0.07304942856230935,0.031724963730796765,9.761963297763629,0.9927790634044713,0.9984349967364861,0.9986797602800689,0.0076714688912034035,0.05818420462310314,0.01739492639899254,ok,
HxpKQynjfin,02f11a6dcac44f42936018d2c9b73443,02f11a6dcac44f42936018d2c9b73443_i0_5,0,5,/mnt/priorbimda-data/PriorBIMDA-Datasets/Matterport3D/v1/scans/HxpKQynjfin/undistorted_color_images/02f11a6dcac44f42936018d2c9b73443_i0_5.jpg,/mnt/priorbimda-data/PriorBIMDA-Datasets/Matterport3D/v1/scans/HxpKQynjfin/undistorted_depth_images/02f11a6dcac44f42936018d2c9b73443_d0_5.png,1024,1280,406,504,1.4167452247142793,1255117,0.9575782775878906,1.4098299741744995,-3.3917999267578125,1.1494899988174438,True,204624,1.0,True,,1.0,204624,0.9640414118766785,-0.03662102691597898,1.0201013830694037,0.056523044438868505,log-depth Laplacian fallback,,,,0.052659222279259114,0.007510663222935385,0.12576468731282345,0.09536037651541447,0.0621251869121671,-0.0077916817178950454,0.052605806380887285,0.022846411427290245,6.1634637541553845,0.9997418567352685,1.0,1.0,0.06405245372267546,0.008389848024412762,0.12068893663841981,0.10404327722889285,0.07596918617238874,-0.044412708766035876,0.06610769510609814,0.028710207195921014,6.163463756491427,1.0,1.0,1.0,0.06405245372267546,0.008389848024412762,0.12068893663841981,0.10404327722889285,0.07596918617238874,-0.044412708766035876,0.06610769510609814,0.028710207195921014,6.163463756491427,1.0,1.0,1.0,0.034199567452794184,0.004937645045622116,0.10114559776892158,0.06593158674281789,0.05154846367447601,-0.025209003570115414,0.0352219822704292,0.01529671254174157,4.496387712598505,1.0,1.0,1.0,0.05135510214211141,0.00903275685178827,0.14326454034174357,0.0993704100215362,0.06281313432573979,0.012110379859175258,0.05027407228376602,0.021833752175644795,6.16346375302874,0.9989012976479483,1.0,1.0,0.007498743012547493,0.06450821924954653,0.017373845912516117,ok,
HxpKQynjfin,02f11a6dcac44f42936018d2c9b73443,02f11a6dcac44f42936018d2c9b73443_i1_0,1,0,/mnt/priorbimda-data/PriorBIMDA-Datasets/Matterport3D/v1/scans/HxpKQynjfin/undistorted_color_images/02f11a6dcac44f42936018d2c9b73443_i1_0.jpg,/mnt/priorbimda-data/PriorBIMDA-Datasets/Matterport3D/v1/scans/HxpKQynjfin/undistorted_depth_images/02f11a6dcac44f42936018d2c9b73443_d1_0.png,1024,1280,406,504,1.4171736824512482,1118264,0.853167724609375,1.3969000577926636,-3.39451003074646,1.1827199459075928,True,204624,1.0,True,,1.0,204624,0.9234949946403503,-0.07958989934632286,0.8928376507853755,0.033760617319362154,log-depth Laplacian fallback,,,,0.15589081497507917,0.043858700019688696,0.2613904298754406,0.20420276600186243,0.16976311010636214,0.12550763993759112,0.1426246632575413,0.06194110423605966,11.431249218821543,0.8041339075567129,0.999564503551934,0.9997326212772655,0.09248902279512161,0.023537552942499016,0.2213661723315117,0.1276025978477989,0.12319003516387163,0.045917740568460506,0.08880408358326912,0.03856712347068891,11.431249216408276,0.9188375911233841,0.9954402538219955,0.9999982115135603,0.09248902279512161,0.023537552942499016,0.2213661723315117,0.1276025978477989,0.12319003516387163,0.045917740568460506,0.08880408358326912,0.03856712347068891,11.431249216408276,0.9188375911233841,0.9954402538219955,0.9999982115135603,0.0982549582025864,0.025840074638180423,0.21823949695550054,0.12794440395221676,0.13191401964016058,0.057654328315966404,0.09234679595530855,0.040105703904836074,11.86477433584787,0.8537912335548672,0.998212407803524,0.9999946345406809,0.08078601721117996,0.021372151196058564,0.22561667181932227,0.12234769287135036,0.11495712815542501,0.012157115258955341,0.07998741088546311,0.03473809116928472,11.431249215340939,0.9490281364686693,0.9901973058240272,1.0,0.00871946569532156,0.058984615840017796,0.017399570904672146,ok,
HxpKQynjfin,02f11a6dcac44f42936018d2c9b73443,02f11a6dcac44f42936018d2c9b73443_i1_1,1,1,/mnt/priorbimda-data/PriorBIMDA-Datasets/Matterport3D/v1/scans/HxpKQynjfin/undistorted_color_images/02f11a6dcac44f42936018d2c9b73443_i1_1.jpg,/mnt/priorbimda-data/PriorBIMDA-Datasets/Matterport3D/v1/scans/HxpKQynjfin/undistorted_depth_images/02f11a6dcac44f42936018d2c9b73443_d1_1.png,1024,1280,406,504,1.4171736824512482,697701,0.5323036193847657,1.393399953842163,-3.3944199085235596,1.18271005153656,True,204624,1.0,True,,1.0,204624,0.9440112709999084,-0.057617173289365956,0.9263275111656459,0.018910249813753985,log-depth Laplacian fallback,,,,0.10637023147241811,0.031192879752289137,0.26656808458017317,0.21356066472405286,0.12217676598606292,0.050868390825515745,0.10395729757589695,0.04514808069078636,11.108361248013034,0.9270145807444736,1.0,1.0,0.07309484719123478,0.02339029712040532,0.2432754561422111,0.14629841646081507,0.11128843175413579,-0.006748782356944259,0.07581655541943318,0.03292671165557193,11.108361255825963,0.9576666795661752,0.9931575273648741,1.0,0.07309484719123478,0.02339029712040532,0.2432754561422111,0.14629841646081507,0.11128843175413579,-0.006748782356944259,0.07581655541943318,0.03292671165557193,11.108361255825963,0.9576666795661752,0.9931575273648741,1.0,0.06793264809821069,0.022131994301699518,0.2379601431088072,0.13624359488229074,0.10780514724419929,-0.009173449022101897,0.07044330582858928,0.0305931390083795,10.741414062116025,0.9562549000216425,0.9932865224501614,1.0,0.06767295290587287,0.023788124421126034,0.24725221743482598,0.1357988809306353,0.11400857005781882,-0.025659015595089006,0.07171219724063205,0.031144211546764104,11.10836124967115,0.9583904853225093,0.9908900804212692,1.0,0.00806319061666727,0.06405096221715212,0.0174387963488698,ok,
HxpKQynjfin,02f11a6dcac44f42936018d2c9b73443,02f11a6dcac44f42936018d2c9b73443_i1_2,1,2,/mnt/priorbimda-data/PriorBIMDA-Datasets/Matterport3D/v1/scans/HxpKQynjfin/undistorted_color_images/02f11a6dcac44f42936018d2c9b73443_i1_2.jpg,/mnt/priorbimda-data/PriorBIMDA-Datasets/Matterport3D/v1/scans/HxpKQynjfin/undistorted_depth_images/02f11a6dcac44f42936018d2c9b73443_d1_2.png,1024,1280,406,504,1.4171736824512482,1274283,0.9722007751464844,1.3917299509048462,-3.3913400173187256,1.18271005153656,True,204624,1.0,True,,1.0,204624,0.8924636840820312,-0.11376945626037432,0.870739590880594,0.024642867746823893,log-depth Laplacian fallback,,,,0.1401964838864825,0.04289430885776459,0.2997686205404507,0.2927861014570667,0.1331468889138714,0.13070700273462146,0.13086318536401872,0.056833159287875724,2.5372691295455048,0.9977100848084766,0.9998281386473805,0.9998281386473805,0.0232776756053931,0.002063253061204434,0.06101290965629361,0.04888389501455818,0.0305066213195519,0.016937546490466172,0.022865892525446043,0.009930530947594026,2.537269128842732,0.9990119934111967,0.9998281386473805,0.9998281386473805,0.0232776756053931,0.002063253061204434,0.06101290965629361,0.04888389501455818,0.0305066213195519,0.016937546490466172,0.022865892525446043,0.009930530947594026,2.537269128842732,0.9990119934111967,0.9998281386473805,0.9998281386473805,0.02332315888888552,0.002092416624652539,0.06155282279846316,0.049006504191387516,0.030715862713266536,0.01675135005829962,0.022916273250558408,0.009952411018504604,2.5745999561961908,0.9989978678205704,0.9998281386473805,0.9998281386473805,0.014683202049903718,0.0014135658941055204,0.04748459001550552,0.028591415492433308,0.026516893552392447,-0.007705334651673641,0.014714430903173604,0.00639039614559498,2.537269125604593,0.9990002220856748,0.9998281386473805,0.9998281386473805,0.007643847726285458,0.06490685138851404,0.01736689917743206,ok,
HxpKQynjfin,02f11a6dcac44f42936018d2c9b73443,02f11a6dcac44f42936018d2c9b73443_i1_3,1,3,/mnt/priorbimda-data/PriorBIMDA-Datasets/Matterport3D/v1/scans/HxpKQynjfin/undistorted_color_images/02f11a6dcac44f42936018d2c9b73443_i1_3.jpg,/mnt/priorbimda-data/PriorBIMDA-Datasets/Matterport3D/v1/scans/HxpKQynjfin/undistorted_depth_images/02f11a6dcac44f42936018d2c9b73443_d1_3.png,1024,1280,406,504,1.4171736824512482,1290829,0.9848243713378906,1.3935600519180298,-3.388360023498535,1.1827199459075928,True,204624,1.0,True,,1.0,204624,0.8824968934059143,-0.12500001040080833,0.8744992315016313,0.009103852909071425,log-depth Laplacian fallback,,,,0.19925386552021168,0.10429700547011908,0.4575644932435018,0.3933190592629065,0.20189679600421792,0.17499448119622352,0.17601214794545497,0.07644110460064986,10.069383192446972,0.7192951196479161,0.9901613614196768,0.9940472363109288,0.06823599795263602,0.0322741073875757,0.21994369508015155,0.09778319812721202,0.11242195020946066,0.049994470890186445,0.06116527125858725,0.026563739791720012,10.069383183347803,0.9848453978024975,0.9925993295781238,0.9948412996609156,0.06823599795263602,0.0322741073875757,0.21994369508015155,0.09778319812721202,0.11242195020946066,0.049994470890186445,0.06116527125858725,0.026563739791720012,10.069383183347803,0.9848453978024975,0.9925993295781238,0.9948412996609156,0.05646583352509091,0.02764193613079501,0.21012953181419397,0.09682674374505774,0.09796090691307556,0.041893607453472245,0.05113126874371704,0.022206027868108526,8.855091720454752,0.9854535341241946,0.9929014609990944,0.994873062194915,0.06530837683532022,0.03059270791333995,0.21499787927719066,0.09492221761708919,0.1086797481004345,0.04089058388080705,0.05884216839129786,0.025554829035562596,10.069383197128104,0.9859609599722349,0.9928053987011448,0.9948691887151591,0.008607335388660431,0.06035310868173838,0.01734178327023983,ok,
