scene_id,panorama_id,frame_id,camera_index,yaw_index,rgb_path,depth_path,height,width,process_height,process_width,focal_scale,gt_valid_pixels,gt_valid_fraction,camera_x,camera_y,camera_z,camera_in_bim_aabb,bim_hit_pixels,bim_hit_fraction,bim_gt_overlap_pixels,bim_gt_overlap_image_fraction,bim_gt_overlap_gt_fraction,bim_gt_agree_pixels,bim_gt_agree_image_fraction,bim_gt_agree_gt_fraction,bim_gt_agree_overlap_fraction,bim_gt_median_ratio,bim_gt_median_abs_log_error,gt_quality_pass,model_support_pass,bim_applicability_pass,effective_pass,filter_reasons,learned_scale,learned_log_scale,oracle_frame_scale,scale_log_error,scale_signed_log_error,scale_pixel_support,scale_token_support,round_1_log_scale,round_2_log_scale,round_3_log_scale,round_1_update,round_2_update,round_3_update,raw_abs_rel,raw_sq_rel,raw_rmse_m,raw_mae_m,raw_rmse_log,raw_mean_log_error,raw_mean_abs_log_error,raw_log10_error,raw_silog_x100,raw_delta1,raw_delta2,raw_delta3,learned_abs_rel,learned_sq_rel,learned_rmse_m,learned_mae_m,learned_rmse_log,learned_mean_log_error,learned_mean_abs_log_error,learned_log10_error,learned_silog_x100,learned_delta1,learned_delta2,learned_delta3,oracle_frame_scale_abs_rel,oracle_frame_scale_sq_rel,oracle_frame_scale_rmse_m,oracle_frame_scale_mae_m,oracle_frame_scale_rmse_log,oracle_frame_scale_mean_log_error,oracle_frame_scale_mean_abs_log_error,oracle_frame_scale_log10_error,oracle_frame_scale_silog_x100,oracle_frame_scale_delta1,oracle_frame_scale_delta2,oracle_frame_scale_delta3,bim_render_seconds,da3_inference_seconds,scale_inference_seconds,status,error
HxpKQynjfin,02f11a6dcac44f42936018d2c9b73443,02f11a6dcac44f42936018d2c9b73443_i0_0,0,0,/home/bgao491/Matterport3D/v1/scans/HxpKQynjfin/undistorted_color_images/02f11a6dcac44f42936018d2c9b73443_i0_0.jpg,/home/bgao491/Matterport3D/v1/scans/HxpKQynjfin/undistorted_depth_images/02f11a6dcac44f42936018d2c9b73443_d0_0.png,1024,1280,406,504,1.4167452247142793,1212457,0.9250312805175781,1.4022300243377686,-3.4042000770568848,1.1494699716567993,True,204624,1.0,189264,0.9249354914379545,1.0,160351,0.7836373054969115,0.8472345506805309,0.8472345506805309,0.9720289707183838,0.03244447708129883,True,True,True,True,,0.9222778081893921,-0.08090880513191223,0.873311406469218,0.05455428789684447,0.05455428789684447,204624,3213,-0.03846411406993866,-0.06450614333152771,-0.08090880513191223,-0.03846411406993866,-0.02604202926158905,-0.01640266180038452,0.14452262601690777,0.034526662363700444,0.2218598034042352,0.19974629173255748,0.1446387054016579,0.13218501036945687,0.13342258840841348,0.0579446939070227,5.8715229147932,0.9812686140621895,0.9974877459571763,1.0,0.06510718064373987,0.00966851694298503,0.12020202164452329,0.094174149125472,0.0779533762390348,0.05127621992791732,0.06231722568315915,0.027064027241715638,5.871522917411095,0.993695446518928,0.9986853142008335,1.0,0.04543845613394753,0.005372348857303345,0.09630190788361384,0.06582190472182348,0.058806665500616896,-0.003278074845362106,0.04549353484549753,0.01975759114567288,5.87152291369935,0.9969244270106074,1.0,1.0,0.014151979936286807,0.9738163389265537,0.2488300350960344,ok,
HxpKQynjfin,02f11a6dcac44f42936018d2c9b73443,02f11a6dcac44f42936018d2c9b73443_i0_1,0,1,/home/bgao491/Matterport3D/v1/scans/HxpKQynjfin/undistorted_color_images/02f11a6dcac44f42936018d2c9b73443_i0_1.jpg,/home/bgao491/Matterport3D/v1/scans/HxpKQynjfin/undistorted_depth_images/02f11a6dcac44f42936018d2c9b73443_d0_1.png,1024,1280,406,504,1.4167452247142793,1119223,0.8538993835449219,1.3876800537109375,-3.403820037841797,1.1494499444961548,True,204624,1.0,174663,0.8535802251935257,1.0,154763,0.7563286808976464,0.8860663105523208,0.8860663105523208,0.9746434688568115,0.028513414785265923,True,True,True,True,,0.9004188179969788,-0.10489523410797119,0.8370251985479698,0.07300583258262228,0.07300583258262228,204624,3213,-0.050628237426280975,-0.08472751826047897,-0.10489523410797119,-0.050628237426280975,-0.034099280834198,-0.020167715847492218,0.1860280539073399,0.05760071732591067,0.3027685414538295,0.28109359142343554,0.17599500576876262,0.16949789393494805,0.16949791392110153,0.0736120087100468,4.73783284547259,0.9218734782969971,1.0,1.0,0.07399234391714099,0.011284885712889676,0.1359590224992694,0.11430126763394065,0.08011370011883054,0.06460262335245097,0.07078404884899833,0.030741121821890195,4.737832840773581,0.9991529838110904,1.0,1.0,0.038748433141114626,0.0038244346884945915,0.08333171810559942,0.06315048179602964,0.048117765918257865,-0.008403177421753071,0.03926174396232305,0.017051158752735215,4.737832844437209,1.0,1.0,1.0,0.005473871948197484,0.6794065141584724,0.020874076057225466,ok,
HxpKQynjfin,02f11a6dcac44f42936018d2c9b73443,02f11a6dcac44f42936018d2c9b73443_i0_2,0,2,/home/bgao491/Matterport3D/v1/scans/HxpKQynjfin/undistorted_color_images/02f11a6dcac44f42936018d2c9b73443_i0_2.jpg,/home/bgao491/Matterport3D/v1/scans/HxpKQynjfin/undistorted_depth_images/02f11a6dcac44f42936018d2c9b73443_d0_2.png,1024,1280,406,504,1.4167452247142793,1116146,0.8515518188476563,1.3807400465011597,-3.3910300731658936,1.149440050125122,True,204624,1.0,174184,0.8512393463132379,1.0,173919,0.8499442880600516,0.9984786203095577,0.9984786203095577,0.9763702750205994,0.024067172780632973,True,True,True,True,,0.8953142762184143,-0.11058051139116287,0.886987992212056,0.00934335856080483,0.00934335856080483,204624,3213,-0.05288513004779816,-0.08921702206134796,-0.11058051139116287,-0.05288513004779816,-0.036331892013549805,-0.02136348932981491,0.12486867242496205,0.027904091725667615,0.22158240785365627,0.2106753390084998,0.12013643429674463,0.11729600739175293,0.11729600739175293,0.05094100875952132,2.5969395362423873,0.9998503779971437,0.9998503779971437,0.9998503779971437,0.020074403893587972,0.0011759159230965025,0.03874235247762907,0.030319863968136646,0.026823643676219054,0.006715531644860496,0.019894880989806473,0.008640237031994851,2.596939534905739,0.9998503779971437,0.9998503779971437,0.9998503779971437,0.018187574439430476,0.0010440831893323023,0.03547473062577507,0.026850229130707164,0.026102011736753774,-0.002627835960354012,0.018184382315673434,0.007897376896516045,2.5969395350510225,0.9998503779971437,0.9998503779971437,0.9998503779971437,0.008657770929858088,0.6268592621199787,0.04049226199276745,ok,
HxpKQynjfin,02f11a6dcac44f42936018d2c9b73443,02f11a6dcac44f42936018d2c9b73443_i0_3,0,3,/home/bgao491/Matterport3D/v1/scans/HxpKQynjfin/undistorted_color_images/02f11a6dcac44f42936018d2c9b73443_i0_3.jpg,/home/bgao491/Matterport3D/v1/scans/HxpKQynjfin/undistorted_depth_images/02f11a6dcac44f42936018d2c9b73443_d0_3.png,1024,1280,406,504,1.4167452247142793,1152832,0.879541015625,1.388350009918213,-3.3786299228668213,1.149459958076477,True,204624,1.0,180114,0.8802193291109547,1.0,177268,0.8663108921729611,0.9841988962545943,0.9841988962545943,0.9784504771232605,0.022210581228137016,True,True,True,True,,0.8388133645057678,-0.17576710879802704,0.8029880106337662,0.04364844867032305,0.04364844867032305,204624,3213,-0.06878287345170975,-0.12921057641506195,-0.17576710879802704,-0.06878287345170975,-0.0604277029633522,-0.04655653238296509,0.2408598721462609,0.11383606813675151,0.46856572807875985,0.39574312047307697,0.2242105670484282,0.21312997898525615,0.2132967082055503,0.09263358338179861,6.961314842701766,0.51734858157997,0.997118400599567,0.9981445692000223,0.06413113893295767,0.013488666877793973,0.16087345957921917,0.10928368928054762,0.07900619663079787,0.03736293179276122,0.06151269167864576,0.026714622563051932,6.96131484269586,0.9958736398712041,0.9979199050685615,0.998867137622828,0.053886280065740706,0.008531752632078725,0.11802182685544649,0.08301417798985598,0.06989634063014499,-0.006285539156649964,0.053787187973186,0.02335947893384762,6.961314840599783,0.9960072239493699,0.9981228834730472,0.9990709834563926,0.005435620900243521,0.49167988798581064,0.028303629020228982,ok,
HxpKQynjfin,02f11a6dcac44f42936018d2c9b73443,02f11a6dcac44f42936018d2c9b73443_i0_4,0,4,/home/bgao491/Matterport3D/v1/scans/HxpKQynjfin/undistorted_color_images/02f11a6dcac44f42936018d2c9b73443_i0_4.jpg,/home/bgao491/Matterport3D/v1/scans/HxpKQynjfin/undistorted_depth_images/02f11a6dcac44f42936018d2c9b73443_d0_4.png,1024,1280,406,504,1.4167452247142793,1213416,0.925762939453125,1.4028899669647217,-3.379009962081909,1.1494899988174438,True,204624,1.0,189463,0.9259080068809132,1.0,154962,0.7573011963406052,0.817901120535408,0.817901120535408,0.9782025218009949,0.029438555240631104,True,True,True,True,,0.8856059908866882,-0.12148311734199524,0.8662723126198832,0.022072838262206337,0.022072838262206337,204624,3213,-0.05494841933250427,-0.09536059200763702,-0.12148311734199524,-0.05494841933250427,-0.04041217267513275,-0.026122525334358215,0.15916475500344981,0.052485334642288425,0.2827509750259276,0.21874973266136727,0.1697957465999688,0.13912291197238524,0.1432084823882395,0.06219465366295144,9.73417224409182,0.8126166129340638,0.998264403963686,0.9985454287729847,0.07711915894511262,0.016019366366045517,0.1395662107265104,0.09960881575252474,0.09892710820938087,0.017639779164079557,0.07454618192764075,0.032374995458130267,9.734172245092573,0.9912363113721923,0.9984242831807064,0.9986682226046137,0.07370547033944497,0.014691777372995813,0.13052193949287114,0.09408170920721874,0.09744261261706143,-0.00443303872314741,0.0727908347929666,0.03161265788371664,9.7341722407803,0.9928425206194743,0.9984358208561614,0.9986797602800689,0.006289236014708877,0.46171268285252154,0.04070253181271255,ok,
HxpKQynjfin,02f11a6dcac44f42936018d2c9b73443,02f11a6dcac44f42936018d2c9b73443_i0_5,0,5,/home/bgao491/Matterport3D/v1/scans/HxpKQynjfin/undistorted_color_images/02f11a6dcac44f42936018d2c9b73443_i0_5.jpg,/home/bgao491/Matterport3D/v1/scans/HxpKQynjfin/undistorted_depth_images/02f11a6dcac44f42936018d2c9b73443_d0_5.png,1024,1280,406,504,1.4167452247142793,1255117,0.9575782775878906,1.4098299741744995,-3.3917999267578125,1.1494899988174438,True,204624,1.0,195967,0.9576931347251544,1.0,147195,0.7193437719915552,0.7511213622701781,0.7511213622701781,0.9670543074607849,0.033828701823949814,True,True,True,True,,0.972027599811554,-0.028371071442961693,1.0237021132701145,0.051796659343562854,-0.051796659343562854,204624,3213,-0.015245181508362293,-0.0237138532102108,-0.028371071442961693,-0.015245181508362293,-0.008468671701848507,-0.004657218232750893,0.05271610254719826,0.007235645701369524,0.12222608637921661,0.09434138835628324,0.06199914546886989,-0.011319211457296592,0.052850154373080355,0.022952530411963802,6.095711189726016,0.999981675015158,1.0,1.0,0.061557798792023014,0.007911165044383836,0.11840821106241173,0.10111371002549772,0.0727398702881447,-0.039690291486442784,0.06329965819312312,0.02749069225963534,6.095711190055943,1.0,1.0,1.0,0.05072854986723088,0.008834519194269473,0.14155392555415455,0.09814877963515863,0.06214768197950303,0.012106398442624322,0.049662724395628854,0.021568247161303622,6.095711190807738,0.9989626465102457,1.0,1.0,0.00679224799387157,0.4162987279705703,0.037374417996034026,ok,
HxpKQynjfin,02f11a6dcac44f42936018d2c9b73443,02f11a6dcac44f42936018d2c9b73443_i1_0,1,0,/home/bgao491/Matterport3D/v1/scans/HxpKQynjfin/undistorted_color_images/02f11a6dcac44f42936018d2c9b73443_i1_0.jpg,/home/bgao491/Matterport3D/v1/scans/HxpKQynjfin/undistorted_depth_images/02f11a6dcac44f42936018d2c9b73443_d1_0.png,1024,1280,406,504,1.4171736824512482,1118264,0.853167724609375,1.3969000577926636,-3.39451003074646,1.1827199459075928,True,204624,1.0,174616,0.8533505356165455,1.0,110188,0.538490108687153,0.6310303752233473,0.6310303752233473,1.0116798877716064,0.029927607625722885,True,True,True,True,,0.9614037275314331,-0.03936084359884262,0.8936705678882388,0.0730572176748398,0.0730572176748398,204624,3213,-0.021241487935185432,-0.03301723301410675,-0.03936084359884262,-0.021241487935185432,-0.011775745078921318,-0.00634361058473587,0.15522402440037544,0.04362337674892335,0.2609568704124593,0.2034138177065996,0.16925568739598804,0.12494586038325413,0.14206185767340662,0.061696680876485666,11.417539003207649,0.8091792278030948,0.999564503551934,0.9997335155204853,0.11808010668751451,0.0307875277379222,0.23274049996758042,0.1534757155448764,0.14269132529462158,0.08558501404282473,0.11026991192450968,0.047889614268772134,11.417539001739826,0.8485456028272393,0.9987373285735748,0.9999302490288519,0.08078040380121596,0.021352656700187912,0.2254775002891376,0.12231461101299561,0.1148606334585708,0.01252778635321701,0.07994790678744339,0.034720934757502195,11.41753900260135,0.9489360294170249,0.9902375467689204,1.0,0.00739080598577857,0.553430177969858,0.03950540814548731,ok,
HxpKQynjfin,02f11a6dcac44f42936018d2c9b73443,02f11a6dcac44f42936018d2c9b73443_i1_1,1,1,/home/bgao491/Matterport3D/v1/scans/HxpKQynjfin/undistorted_color_images/02f11a6dcac44f42936018d2c9b73443_i1_1.jpg,/home/bgao491/Matterport3D/v1/scans/HxpKQynjfin/undistorted_depth_images/02f11a6dcac44f42936018d2c9b73443_d1_1.png,1024,1280,406,504,1.4171736824512482,697701,0.5323036193847657,1.393399953842163,-3.3944199085235596,1.18271005153656,True,204624,1.0,108893,0.5321614277895066,1.0,42767,0.2090028540151693,0.3927433352006098,0.3927433352006098,1.0747483968734741,0.08543267101049423,True,True,True,True,,0.9819620251655579,-0.018202614039182663,0.9257514385496338,0.058946862974524006,0.058946862974524006,204624,3213,-0.009428136050701141,-0.014972303062677383,-0.018202614039182663,-0.009428136050701141,-0.005544167011976242,-0.0032303109765052795,0.10657979208367349,0.031344051816663734,0.26699018710828976,0.21395686233707514,0.12242060960352709,0.05177957777757707,0.10407196582209466,0.04519788047735952,11.093097394720303,0.9257332295639537,1.0,1.0,0.09537704288674317,0.0272623424495223,0.25366920234631746,0.19136522317270263,0.11590121473663124,0.03357693546063928,0.09470663026682065,0.04113056692453171,11.09309739545217,0.9432507621459623,0.9999971334425491,1.0,0.06752697692796072,0.02372640821982176,0.24703377059345227,0.135517029604694,0.11379505130736729,-0.025369917647099092,0.07152315292907842,0.03106211064542117,11.093097394607948,0.9584076846672142,0.9908757476340151,1.0,0.006334902020171285,0.6111215420532972,0.02865105401724577,ok,
HxpKQynjfin,02f11a6dcac44f42936018d2c9b73443,02f11a6dcac44f42936018d2c9b73443_i1_2,1,2,/home/bgao491/Matterport3D/v1/scans/HxpKQynjfin/undistorted_color_images/02f11a6dcac44f42936018d2c9b73443_i1_2.jpg,/home/bgao491/Matterport3D/v1/scans/HxpKQynjfin/undistorted_depth_images/02f11a6dcac44f42936018d2c9b73443_d1_2.png,1024,1280,406,504,1.4171736824512482,1274283,0.9722007751464844,1.3917299509048462,-3.3913400173187256,1.18271005153656,True,204624,1.0,198888,0.9719680975838612,1.0,137331,0.6711382828993666,0.6904941474598769,0.6904941474598769,1.0172940492630005,0.017146209254860878,True,True,True,True,,0.9147629737854004,-0.0890902727842331,0.870221772774038,0.04991689627547294,0.04991689627547294,204624,3213,-0.04350148141384125,-0.07218857109546661,-0.0890902727842331,-0.04350148141384125,-0.028687089681625366,-0.01690170168876648,0.1408854248561132,0.04329743604538441,0.3011771471692183,0.29421591344436776,0.13373715304111708,0.13131316044410654,0.13146765525930287,0.057095677227874266,2.534718914837506,0.9976967439728851,0.9998281386473805,0.9998281386473805,0.0443780948554392,0.0055004917351876015,0.10507354831137514,0.09359845367011879,0.049246833297930476,0.042222868111418406,0.043137048731568664,0.01873418222971194,2.5347189160140045,0.998727912088602,0.9998281386473805,0.9998281386473805,0.014651435447617297,0.0014107803353290511,0.0474250170489077,0.02852553575196222,0.02648919964259242,-0.007694004176408213,0.014681930760299033,0.006376281512883484,2.5347189142753708,0.999003361105814,0.9998281386473805,0.9998281386473805,0.0053126870188862085,0.5459350510500371,0.04296879912726581,ok,
HxpKQynjfin,02f11a6dcac44f42936018d2c9b73443,02f11a6dcac44f42936018d2c9b73443_i1_3,1,3,/home/bgao491/Matterport3D/v1/scans/HxpKQynjfin/undistorted_color_images/02f11a6dcac44f42936018d2c9b73443_i1_3.jpg,/home/bgao491/Matterport3D/v1/scans/HxpKQynjfin/undistorted_depth_images/02f11a6dcac44f42936018d2c9b73443_d1_3.png,1024,1280,406,504,1.4171736824512482,1290829,0.9848243713378906,1.3935600519180298,-3.388360023498535,1.1827199459075928,True,204624,1.0,201504,0.9847525216983345,1.0,144967,0.7084555086402377,0.7194249245672543,0.7194249245672543,1.0156776905059814,0.03167394548654556,True,True,True,True,,0.9122111201286316,-0.09188380092382431,0.8738449253052065,0.042968525741566996,0.042968525741566996,204624,3213,-0.04570920020341873,-0.07512908428907394,-0.09188380092382431,-0.04570920020341873,-0.029419884085655212,-0.016754716634750366,0.2003170573992733,0.10515086814753916,0.4596015290914044,0.3954306043898177,0.20274582808640584,0.17586964871085053,0.17687928206471537,0.07681769616371475,10.0874860439876,0.7112746924650748,0.9901536144601647,0.9940441375271241,0.09733895315748531,0.04248769104697141,0.2585864398657599,0.1621958456049059,0.13126064212201083,0.08398582437619423,0.08747416510370767,0.037989547213634234,10.087486046648918,0.9713703364272107,0.9917099786261387,0.9947111507411129,0.0655519370861362,0.030657752690782247,0.21518232096358408,0.09521672080031654,0.10889516019811772,0.041017294419107404,0.0590623519521308,0.025650453541038152,10.087486046141517,0.9859772285872103,0.9928092721809008,0.9948707381070614,0.006940931081771851,0.5669857959728688,0.030816967133432627,ok,
