epoch,train_total,train_depth,train_scale_teacher,train_low1_teacher,train_low2_teacher,train_zero_mean,train_equivariance,train_predicted_residual_mean,train_da3_scale_perturbation_fraction,train_da3_scale_perturbation_abs_log_q,train_da3_scale_perturbation_mean_log_q,train_bim_condition_dropout_fraction,val_abs_rel,val_rmse,val_delta1,val_scale_abs_rel,val_low1_abs_rel,val_scale_log_mae,val_combined_residual_mean_abs,optimizer_steps,skipped_steps,epoch_seconds
1,0.11790104446899735,0.08397250082444759,0.0,0.06785708761941886,0.0,0.0,0.0,0.03686946450896646,0.0,0.0,0.0,0.0,0.06898618639674677,0.641670621856061,0.94075431785065,0.09068927825048927,0.06898618639674677,0.029211264380876775,0.03869813680029499,439,0,375.7656781459227
2,0.09916172374552036,0.07126118634820529,0.0,0.05580107493873811,0.0,0.0,0.0,0.04991189464717863,0.0,0.0,0.0,0.0,0.06593821704720998,0.6359991601984742,0.9428160506699153,0.09068927825048927,0.06593821704720998,0.02564223945428641,0.04654281069115428,878,0,377.38565710000694
3,0.09237430237618281,0.06627208088549609,0.0,0.052204442863297874,0.0,0.0,0.0,0.051320336595690595,0.0,0.0,0.0,0.0,0.06793846423842022,0.6512734533069436,0.9419668195781148,0.09068927825048927,0.06793846423842022,0.02617102633444709,0.05324951704138933,1317,0,376.8633204717189
4,0.08499197290569578,0.06118514364175137,0.0,0.04761365849561394,0.0,0.0,0.0,0.053654497714144885,0.0,0.0,0.0,0.0,0.0675078555961303,0.6462653388606975,0.9414017045519076,0.09068927825048927,0.0675078555961303,0.02673323127421346,0.05675598357336371,1756,0,376.8636032771319
5,0.08022545791388884,0.0576542741377321,0.0,0.04514236766241992,0.0,0.0,0.0,0.05455558610114062,0.0,0.0,0.0,0.0,0.06353425920333794,0.6345927095270437,0.9420960159999388,0.09068927825048927,0.06353425920333794,0.023169926022837975,0.051410283346688825,2195,0,377.4461282752454
6,0.0762805876149958,0.05493065722088005,0.0,0.04269986072985782,0.0,0.0,0.0,0.0549772878479493,0.0,0.0,0.0,0.0,0.06313006602630236,0.633654645041918,0.942421895587571,0.09068927825048927,0.06313006602630236,0.022646817914920025,0.05125314716385534,2634,0,377.4512531114742
