epoch,train_total,train_depth,train_scale_teacher,train_low1_teacher,train_low2_teacher,train_zero_mean,train_equivariance,train_predicted_residual_mean,train_da3_scale_perturbation_fraction,train_da3_scale_perturbation_abs_log_q,train_da3_scale_perturbation_mean_log_q,train_bim_condition_dropout_fraction,val_abs_rel,val_rmse,val_delta1,val_scale_abs_rel,val_low1_abs_rel,val_scale_log_mae,val_combined_residual_mean_abs,optimizer_steps,skipped_steps,epoch_seconds
1,0.12092702886959909,0.08747988086006792,0.0,0.06689429593193347,0.0,0.0,0.0,0.03613186141538493,0.0,0.0,0.0,0.0,0.06980286531770138,0.6482225691769884,0.939402185926714,0.09068927825048927,0.06980286531770138,0.027333602343601868,0.04498224082945368,439,0,347.61501556355506
2,0.09969498587031655,0.07330663238385883,0.0,0.05277670685749626,0.0,0.0,0.0,0.04962896569030326,0.0,0.0,0.0,0.0,0.06638767490092178,0.6489247738695665,0.9420526323412692,0.09068927825048927,0.06638767490092178,0.023097961564040065,0.04980979636294831,878,0,349.60509410779923
3,0.09214158500935213,0.06776529452054247,0.0,0.04875258109184313,0.0,0.0,0.0,0.050774941118426765,0.0,0.0,0.0,0.0,0.06539752176131135,0.6417541673749927,0.942843945917139,0.09068927825048927,0.06539752176131135,0.021493368657407152,0.0509894821068881,1317,0,349.6370525090024
4,0.09146290686123894,0.06742718088729079,0.0,0.048071451955334125,0.0,0.0,0.0,0.05192648936941479,0.0,0.0,0.0,0.0,0.06631903640928839,0.6364456237540709,0.9412206590206561,0.09068927825048927,0.06631903640928839,0.024080419585050864,0.04882699808646361,1756,0,350.75695556402206
5,0.08744799412140931,0.0644928435577187,0.0,0.04591030116470321,0.0,0.0,0.0,0.05288897903797605,0.0,0.0,0.0,0.0,0.06555495449903305,0.6372020885114181,0.9421292785419073,0.09068927825048927,0.06555495449903305,0.02355805796390712,0.05133437068785835,2195,0,350.1597169591114
6,0.08273770749840952,0.06124213612035418,0.0,0.04299114304844394,0.0,0.0,0.0,0.05373660231994505,0.0,0.0,0.0,0.0,0.06476923125339594,0.6378297071875981,0.9419468402616222,0.09068927825048927,0.06476923125339594,0.022674579837721885,0.05035152886598942,2634,0,350.3115939768031
