epoch,train_total,train_depth,train_scale_teacher,train_low1_teacher,train_low2_teacher,train_zero_mean,train_equivariance,train_predicted_residual_mean,train_da3_scale_perturbation_fraction,train_da3_scale_perturbation_abs_log_q,train_da3_scale_perturbation_mean_log_q,train_bim_condition_dropout_fraction,val_abs_rel,val_rmse,val_delta1,val_scale_abs_rel,val_low1_abs_rel,val_scale_log_mae,val_combined_residual_mean_abs,optimizer_steps,skipped_steps,epoch_seconds
1,0.12958915758701609,0.08313780592481408,0.039116118008557035,0.0,0.052557127441067615,0.0025031849385272037,0.0036441047255806407,0.0025031849385272037,0.0,0.0,0.0,0.0,0.07765105387789384,0.6806640659136951,0.935374263345606,0.07723699730351692,0.07723699730351692,0.037257029136639475,0.004678863438589433,439,0,600.437056821771
2,0.11036526112239733,0.07192513984864439,0.02559757696821818,0.0,0.04988650129672355,0.00537036679942053,0.0016104554674386275,0.00537036679942053,0.0,0.0,0.0,0.0,0.0667598210039327,0.6440681621165719,0.9411115058680863,0.07090194556157278,0.07090194556157278,0.027123386613708445,0.005286851316594139,878,0,601.3925498584285
3,0.10334726124608765,0.0670875904056803,0.021113292609301164,0.0,0.04992483807616127,0.005859644831017367,0.0015464097377647004,0.005859644831017367,0.0,0.0,0.0,0.0,0.06689710523647449,0.6460450316272539,0.9415062910035649,0.07057869418772164,0.07057869418772164,0.02651572309281884,0.008153396242308484,1317,0,603.0290292138234
4,0.09625658191898832,0.06278995489350989,0.018279007316208663,0.0,0.0472494358412286,0.005799394923828553,0.0012246598450997759,0.005799394923828553,0.0,0.0,0.0,0.0,0.06864442750584285,0.6486252415172454,0.9408541149510389,0.07171983474829534,0.07171983474829534,0.028633237667064458,0.007012881266941426,1756,0,602.8336629215628
5,0.09168992135105299,0.06005192850623439,0.016252221135776415,0.0,0.04571488618394344,0.005498511608004323,0.0010458795672873191,0.005498511608004323,0.0,0.0,0.0,0.0,0.06539910582736322,0.6382598861721551,0.9414479779279596,0.0697042052177529,0.0697042052177529,0.024661436968956764,0.006414246870834131,2195,0,602.604490862228
6,0.08868489428957275,0.05768432439062096,0.016489857793290874,0.0,0.0442333453735581,0.005256522372019338,0.0011331614154941113,0.005256522372019338,0.0,0.0,0.0,0.0,0.06491493659329232,0.6384805918285741,0.9414304856633127,0.06926286476632718,0.06926286476632718,0.023726769570189984,0.00640395776693221,2634,0,602.8538467576727
