epoch,train_total,train_depth,train_scale_teacher,train_low1_teacher,train_low2_teacher,train_zero_mean,train_equivariance,train_predicted_residual_mean,train_da3_scale_perturbation_fraction,train_da3_scale_perturbation_abs_log_q,train_da3_scale_perturbation_mean_log_q,train_bim_condition_dropout_fraction,val_abs_rel,val_rmse,val_delta1,val_scale_abs_rel,val_low1_abs_rel,val_scale_log_mae,val_combined_residual_mean_abs,optimizer_steps,skipped_steps,epoch_seconds
1,0.1298631232180824,0.08387548105204351,0.038395768520794384,0.0,0.052364049496375804,0.003055674221578353,0.0030216579940610428,0.003055674221578353,0.0,0.0,0.0,0.0,0.07266351530945622,0.6736849205104123,0.9378861478116732,0.07260107663304888,0.07260107663304888,0.029731355073098573,0.0055464290411451475,438,0,2183.1571209141985
2,0.1134759483042441,0.07445205843765033,0.026546281679760936,0.0,0.05022501757104783,0.004888058361117877,0.0014943464402801497,0.004888058361117877,0.0,0.0,0.0,0.0,0.06713488926795441,0.644492869108329,0.939084601249142,0.07005334749524804,0.07005334749524804,0.0251598021119067,0.004571944682466983,876,0,2183.454982575029
3,0.10825582457170503,0.07069788647381818,0.02319430351641654,0.0,0.050518001081022224,0.005628146103728928,0.0013897112070684438,0.005628146103728928,0.0,0.0,0.0,0.0,0.06583035853558503,0.6428010109435409,0.9420101534957473,0.06932528184063522,0.06932528184063522,0.023664289013272763,0.005049374982858276,1314,0,2183.3278612913564
4,0.10267687543852416,0.06714824654723275,0.021634532806963754,0.0,0.04807706154695793,0.005524987465309694,0.0012033312830548204,0.005524987465309694,0.0,0.0,0.0,0.0,0.06582802065133567,0.6382273178019803,0.9402615949821147,0.06893053906275842,0.06893053906275842,0.022637789065849973,0.006883853555195483,1752,0,2183.515408512205
5,0.09843122913208727,0.06473294575379727,0.019320121484560908,0.0,0.046704285310317666,0.005660298637903325,0.0012005035084478688,0.005660298637903325,0.0,0.0,0.0,0.0,0.06602388791980059,0.6365391832809639,0.9407944138636418,0.06934111087085565,0.06934111087085565,0.023469356723125296,0.00842946308380515,2190,0,2183.8153064763173
6,0.0943806486110709,0.06160416097920303,0.01943031108969919,0.0,0.04483688254224043,0.005222488932399776,0.0012064184439383372,0.005222488932399776,0.0,0.0,0.0,0.0,0.06502486201917783,0.6352125147976283,0.9412515553104401,0.07033660418635311,0.07033660418635311,0.025446305816321763,0.006316007051903039,2628,0,2185.5962192835286
7,0.09054002935092335,0.05905739671750564,0.01777827723402813,0.0,0.043966856982865156,0.005034602419542336,0.0010660493292449895,0.005034602419542336,0.0,0.0,0.0,0.0,0.06464786356051044,0.6354482260674799,0.9418463775787871,0.06907975376303675,0.06907975376303675,0.02311667598877492,0.006588149294190363,3066,0,2185.343496700749
8,0.08615447192550658,0.05644521456781656,0.015545394651623141,0.0,0.04269093821105892,0.004942217384056788,0.000968690254386756,0.004942217384056788,0.0,0.0,0.0,0.0,0.06500250551413443,0.6365810184041867,0.9413665707995029,0.06929337240105894,0.06929337240105894,0.023171484621783894,0.005367088642080459,3504,0,2185.407584587112
9,0.08487040367079517,0.05567151463918014,0.014753645947544579,0.0,0.04250030397207872,0.004793468388073895,0.0009256710608996479,0.004793468388073895,0.0,0.0,0.0,0.0,0.06490073997882725,0.6404692036538172,0.9420818326985567,0.06882825764924179,0.06882825764924179,0.022474593336505228,0.005459622687059502,3942,0,2185.898518135771
10,0.08246171547389125,0.05468249033081885,0.012707182458646013,0.0,0.041702250876680835,0.0047689378253592506,0.0009761496192463731,0.0047689378253592506,0.0,0.0,0.0,0.0,0.064453101184258,0.6390305549195369,0.9421721103119293,0.06902842656439973,0.06902842656439973,0.022790061059428487,0.005536260587111499,4380,0,2187.398704255931
11,0.08156572924033828,0.053510761120224785,0.01394715714084328,0.0,0.04104582055633437,0.004568560242963334,0.001016233322014457,0.004568560242963334,0.0,0.0,0.0,0.0,0.06440925213323616,0.6386544348255051,0.9422573096022951,0.06903557057456393,0.06903557057456393,0.022836545663754954,0.00552025530765638,4818,0,2187.7718034125865
12,0.08349796560205962,0.05445190193556827,0.015167786149516995,0.0,0.04182510722968642,0.004529787338278724,0.0009663811548275236,0.004529787338278724,0.0,0.0,0.0,0.0,0.0643852658227778,0.6389091867270983,0.9422698988218753,0.06902991506677977,0.06902991506677977,0.02278736628284728,0.005294443712693913,5256,0,2187.3551125340164
