epoch,train_total,train_depth,train_scale_teacher,train_low1_teacher,train_low2_teacher,train_zero_mean,train_equivariance,train_predicted_residual_mean,train_da3_scale_perturbation_fraction,train_da3_scale_perturbation_abs_log_q,train_da3_scale_perturbation_mean_log_q,train_bim_condition_dropout_fraction,val_abs_rel,val_rmse,val_delta1,val_scale_abs_rel,val_low1_abs_rel,val_scale_log_mae,val_combined_residual_mean_abs,optimizer_steps,skipped_steps,epoch_seconds
1,0.12470207849216763,0.0848298295774522,0.04117157065759278,0.05029501076838181,0.012308980922809182,0.0014902673605939115,0.004091939431049841,0.0016877216719896069,0.0,0.0,0.0,0.0,0.08062560469131198,0.6906139352709603,0.9347214122361506,0.07993486420283895,0.08053520408545371,0.04043723736348012,0.004646701227677474,439,0,607.983565190807
2,0.10312529723810779,0.0717031653599651,0.025157046647616272,0.047557030309441126,0.012538704747312938,0.005217368813224515,0.0016326162627702556,0.005391940192465146,0.0,0.0,0.0,0.0,0.06724802199724152,0.63640267349788,0.9410818009945673,0.0705603072274538,0.06753344862720319,0.026287406574694236,0.008892653794854532,878,0,608.9241739390418
3,0.09475550747912694,0.06567505943226053,0.020481510284214386,0.046732669719455035,0.012717672131170135,0.006445404588253423,0.0015314908851873099,0.0066922728877746,0.0,0.0,0.0,0.0,0.06495326232708283,0.6418014560740225,0.9426437074515023,0.06921846605417903,0.06591764201564558,0.023580449418561703,0.005791933577983277,1317,0,609.2746970877051
4,0.08666052865725132,0.05998009532430787,0.017399206058697207,0.04359357321344813,0.012471461766414718,0.007188106873918405,0.0012789561985285893,0.007458546659736608,0.0,0.0,0.0,0.0,0.06643604576587277,0.6406235169363856,0.9414201466334976,0.07082375460381053,0.06784508179803601,0.027023166465114868,0.009515276073775081,1756,0,609.4870773861185
5,0.08229122334863848,0.057048005380237944,0.01553351586994197,0.04205052174102617,0.012270970095323356,0.007171274122364969,0.0011121695925467366,0.007497027507628091,0.0,0.0,0.0,0.0,0.06365144925978297,0.6334030922561039,0.9427515744429747,0.06935304179427414,0.06477236804175336,0.023775602694493938,0.008401786835617299,2195,0,609.7712194183841
6,0.07947249254434918,0.05450819025248612,0.015707892767760877,0.04074711229669964,0.012183155269459057,0.007104811746572238,0.001215190301020786,0.007454925824287246,0.0,0.0,0.0,0.0,0.06378471998349518,0.6344098120879278,0.9433468562237578,0.0691674481178483,0.06506146226013036,0.02330943867656053,0.007733157217066019,2634,0,610.7066168095917
