epoch,train_total,train_depth,train_scale_teacher,train_low1_teacher,train_low2_teacher,train_zero_mean,train_equivariance,train_predicted_residual_mean,train_da3_scale_perturbation_fraction,train_da3_scale_perturbation_abs_log_q,train_da3_scale_perturbation_mean_log_q,train_bim_condition_dropout_fraction,val_abs_rel,val_rmse,val_delta1,val_scale_abs_rel,val_low1_abs_rel,val_scale_log_mae,val_combined_residual_mean_abs,optimizer_steps,skipped_steps,epoch_seconds
1,0.13448055292645547,0.08642075105344868,0.0417905895923983,0.0,0.05265019123004452,0.003151150752360891,0.00524296839168661,0.003151150752360891,0.0,0.0,0.0,0.0,0.07892008549347307,0.6821967602676762,0.9365286699105797,0.07822482600496465,0.07822482600496465,0.03876039681503036,0.006353458323951831,219,0,629.9949441328645
2,0.11194314140843474,0.07297609646094444,0.026307063138954444,0.0,0.04982778823777149,0.006532702054913458,0.002463482171600072,0.006532702054913458,0.0,0.0,0.0,0.0,0.06725715356939964,0.639438114920968,0.9413410346986012,0.07182071572632638,0.07182071572632638,0.028385982033170346,0.007175675852171903,438,0,631.1864316919819
3,0.10164291721228595,0.06614492935677098,0.0204447818426713,0.0,0.04868492454324411,0.007351839976580856,0.001979508269503798,0.007351839976580856,0.0,0.0,0.0,0.0,0.06460508501968969,0.6338177488055867,0.9426126500955034,0.0698621352698498,0.0698621352698498,0.024942634067204778,0.007660345316325129,657,0,629.6856091385707
4,0.09314306799883712,0.060969713530992266,0.01718739260489878,0.0,0.04548032712786709,0.006758248086882645,0.001636692384586427,0.006758248086882645,0.0,0.0,0.0,0.0,0.06441627877638896,0.6287924677351305,0.9422237557199675,0.06944534945908931,0.06944534945908931,0.02455970794585958,0.008128458503756207,876,0,629.9288762258366
5,0.08915451837524976,0.05861339775938966,0.015578434073268414,0.0,0.043909100449928955,0.006457794079191336,0.0015157386553928268,0.006457794079191336,0.0,0.0,0.0,0.0,0.06451613316779359,0.6277362644719673,0.9432843009482904,0.06963260510698568,0.06963260510698568,0.02476199504791871,0.008260119347891549,1095,0,629.9619374703616
6,0.08661239628242032,0.05658316040692264,0.01596368387443562,0.0,0.042602306427476616,0.005994735398334047,0.0014676800879839058,0.005994735398334047,0.0,0.0,0.0,0.0,0.06387824208229577,0.627819698686972,0.9437971405133249,0.06922933742226764,0.06922933742226764,0.024004160431567167,0.007220734251486065,1314,0,630.6137649575248
