epoch,train_total,train_depth,train_scale_teacher,train_low1_teacher,train_low2_teacher,train_zero_mean,train_equivariance,train_predicted_residual_mean,train_da3_scale_perturbation_fraction,train_da3_scale_perturbation_abs_log_q,train_da3_scale_perturbation_mean_log_q,train_bim_condition_dropout_fraction,val_abs_rel,val_rmse,val_delta1,val_scale_abs_rel,val_low1_abs_rel,val_scale_log_mae,val_combined_residual_mean_abs,optimizer_steps,skipped_steps,epoch_seconds
1,0.12790405544592093,0.08255254103989684,0.038705668305441504,0.0,0.0506846764720222,0.0027953344188833182,0.00376808623587597,0.0027953344188833182,0.0,0.0,0.0,0.0,0.07339198761740114,0.6676367443866781,0.9381014364939069,0.07595256673125017,0.07595256673125017,0.03456968857861668,0.0047398212828057736,439,0,600.7932335976511
2,0.10647325970060353,0.0697363798147417,0.024294708508174737,0.0,0.04756633564730212,0.006268238754929416,0.0017953421462675073,0.006268238754929416,0.0,0.0,0.0,0.0,0.06688085451888785,0.6385459728852211,0.9403512283306281,0.07121642875919781,0.07121642875919781,0.026444044581225318,0.008538869295246427,878,0,602.2727874582633
3,0.09889142677513059,0.06455172896725207,0.020114789236476686,0.0,0.04675582211655371,0.007324677487662649,0.0017192444346089358,0.007324677487662649,0.0,0.0,0.0,0.0,0.06693625695043832,0.646251681989644,0.9416496020367675,0.07011667191092884,0.07011667191092884,0.025418847462510857,0.0072236167734504985,1317,0,602.0085628852248
4,0.09154469891532584,0.059998221376393344,0.016958929714144165,0.0,0.0443799290430179,0.007426520220924711,0.0013439625547806344,0.007426520220924711,0.0,0.0,0.0,0.0,0.06430118008489415,0.6355751643564328,0.9410969151639258,0.06968379904063204,0.06968379904063204,0.024104820702167077,0.008166492902169987,1756,0,602.2615054035559
5,0.08681214548285075,0.0572830738446102,0.014817426682004161,0.0,0.042556962299442766,0.00726570371258088,0.0011530679280525988,0.00726570371258088,0.0,0.0,0.0,0.0,0.06298657021985889,0.6315177815066151,0.942494697516642,0.06883383853621816,0.06883383853621816,0.022228669009443643,0.00830500806263677,2195,0,602.7425116430968
6,0.08472519733343237,0.05514074574185868,0.015112284349690051,0.0,0.04243883640680428,0.0068244307642563755,0.0012644827425397406,0.0068244307642563755,0.0,0.0,0.0,0.0,0.06301172154363095,0.6313291321719622,0.9429710318978256,0.06875797323331251,0.06875797323331251,0.02204151724666152,0.007962878525741908,2634,0,603.18662212044
