epoch,train_total,train_depth,train_scale_teacher,train_low1_teacher,train_low2_teacher,train_zero_mean,train_equivariance,train_predicted_residual_mean,train_da3_scale_perturbation_fraction,train_da3_scale_perturbation_abs_log_q,train_da3_scale_perturbation_mean_log_q,train_bim_condition_dropout_fraction,val_abs_rel,val_rmse,val_delta1,val_scale_abs_rel,val_low1_abs_rel,val_scale_log_mae,val_combined_residual_mean_abs,optimizer_steps,skipped_steps,epoch_seconds
1,0.1517328735923366,0.09727019629575615,0.05549128959372903,0.0,0.05316463890841419,0.001347128987625041,0.0,0.001347128987625041,1.0,0.09975956452188825,0.00022073828457061496,0.0,0.07522232046742158,0.6503668560946246,0.9339470177186929,0.07614430648134786,0.07614430648134786,0.03410965367289927,0.0017446975811546124,439,0,349.46981667354703
2,0.13037106151391337,0.08443741948533479,0.039317361949924357,0.0,0.051696478764946784,0.004267217105412037,0.0,0.004267217105412037,1.0,0.09885731507370304,-0.0014848427530123093,0.0,0.06718395128558478,0.6524011591676181,0.9373988135554701,0.0695880510327428,0.0695880510327428,0.02328169888185501,0.004162046496864371,878,0,350.28188731055707
3,0.12484852447882677,0.08091985101291471,0.034243793911612586,0.0,0.052786204161832224,0.004136744122874939,0.0,0.004136744122874939,1.0,0.10012348440499137,0.0018477203013376464,0.0,0.07034780892856764,0.6678865672237163,0.9359238686427802,0.07295718673140475,0.07295718673140475,0.030808493811180688,0.0031173903989403532,1317,0,350.73524721339345
4,0.11794120276105605,0.07662011784699539,0.03089037948865134,0.0,0.05091790826188977,0.004169410159327296,0.0,0.004169410159327296,1.0,0.10031334995309393,-0.0003197584107982529,0.0,0.06652426420232511,0.6488617968959862,0.9375773507172889,0.0707188991725925,0.0707188991725925,0.026308809642391073,0.004825860051501465,1756,0,351.1328831007704
5,0.11460285300972801,0.07464852269711818,0.028942537392622935,0.0,0.0501891706293317,0.0038847622191272415,0.0,0.0038847622191272415,1.0,0.10080288460150656,0.0007534944672325835,0.0,0.06719853347635774,0.6493411912895589,0.9357524420806188,0.07122704931486207,0.07122704931486207,0.026371574174201932,0.004780161365142562,2195,0,351.24808384105563
6,0.11261039765427368,0.07292854046492629,0.029734845005730738,0.0,0.0489101698626092,0.0035934978337226193,0.0,0.0035934978337226193,1.0,0.09949858056101629,0.00140250869658077,0.0,0.06675692441546813,0.6496343576808202,0.9361640633727812,0.07069649884112489,0.07069649884112489,0.025786980286711527,0.004593748682114121,2634,0,351.7546448837966
