scene_id,panorama_id,frame_id,camera_index,yaw_index,rgb_path,depth_path,height,width,process_height,process_width,focal_scale,gt_valid_pixels,gt_valid_fraction,camera_x,camera_y,camera_z,camera_in_bim_aabb,bim_hit_pixels,bim_hit_fraction,bim_gt_overlap_pixels,bim_gt_overlap_image_fraction,bim_gt_overlap_gt_fraction,bim_gt_agree_pixels,bim_gt_agree_image_fraction,bim_gt_agree_gt_fraction,bim_gt_agree_overlap_fraction,bim_gt_median_ratio,bim_gt_median_abs_log_error,ratio_support_pixels,gt_quality_pass,model_support_pass,bim_applicability_pass,effective_pass,filter_reasons,recomputed_gt_quality_pass,recomputed_model_support_pass,recomputed_bim_applicability_pass,recomputed_effective_pass,selection_matches_recomputation,oracle_frame_scale,raw_abs_rel,raw_sq_rel,raw_rmse_m,raw_mae_m,raw_rmse_log,raw_mean_log_error,raw_mean_abs_log_error,raw_log10_error,raw_silog_x100,raw_delta1,raw_delta2,raw_delta3,learned_abs_rel,learned_sq_rel,learned_rmse_m,learned_mae_m,learned_rmse_log,learned_mean_log_error,learned_mean_abs_log_error,learned_log10_error,learned_silog_x100,learned_delta1,learned_delta2,learned_delta3,oracle_frame_scale_abs_rel,oracle_frame_scale_sq_rel,oracle_frame_scale_rmse_m,oracle_frame_scale_mae_m,oracle_frame_scale_rmse_log,oracle_frame_scale_mean_log_error,oracle_frame_scale_mean_abs_log_error,oracle_frame_scale_log10_error,oracle_frame_scale_silog_x100,oracle_frame_scale_delta1,oracle_frame_scale_delta2,oracle_frame_scale_delta3,bim_render_seconds,da3_inference_seconds,dense_inference_seconds,status,error
HxpKQynjfin,e1d49f9c53bf45ae98d0dd8fb613161a,e1d49f9c53bf45ae98d0dd8fb613161a_i1_1,1,1,/home/bgao491/Matterport3D/v1/scans/HxpKQynjfin/undistorted_color_images/e1d49f9c53bf45ae98d0dd8fb613161a_i1_1.jpg,/home/bgao491/Matterport3D/v1/scans/HxpKQynjfin/undistorted_depth_images/e1d49f9c53bf45ae98d0dd8fb613161a_d1_1.png,1024,1280,406,504,1.4171736824512482,901481,0.6877754211425782,0.5895320177078247,-2.454509973526001,1.1784700155258179,True,204624,1.0,140589,0.6870601688951443,1.0,76521,0.37395906638517473,0.544288671233169,0.544288671233169,1.0390286445617676,0.039301712065935135,204624,True,True,True,True,,True,True,True,True,True,0.8892745185746868,0.13502685115309082,0.04698096048015189,0.32910478364474016,0.3116602322323787,0.13244080994606935,0.1257553151826047,0.12575544540651937,0.05461489600933701,4.154718814185403,0.973889632726591,0.9994486849972434,1.0,0.08392878698428781,0.02113679403725947,0.21632071488918556,0.18901351354326656,0.09180529461785969,0.07942568617315739,0.07951004575801035,0.03453077412857894,4.604098712880876,0.9850789977825378,1.0,1.0,0.02715092998897556,0.004416992600013126,0.09758502237910248,0.061397559048404216,0.04238903582601331,0.008406040228259129,0.026450237932568284,0.01148719237914249,4.154718818331668,0.9941085835419715,1.0,1.0,0.006211995147168636,0.2711400790140033,0.030213363002985716,ok,
HxpKQynjfin,e1d49f9c53bf45ae98d0dd8fb613161a,e1d49f9c53bf45ae98d0dd8fb613161a_i1_2,1,2,/home/bgao491/Matterport3D/v1/scans/HxpKQynjfin/undistorted_color_images/e1d49f9c53bf45ae98d0dd8fb613161a_i1_2.jpg,/home/bgao491/Matterport3D/v1/scans/HxpKQynjfin/undistorted_depth_images/e1d49f9c53bf45ae98d0dd8fb613161a_d1_2.png,1024,1280,406,504,1.4171736824512482,1235327,0.9424797058105469,0.5861250162124634,-2.4537100791931152,1.1784600019454956,True,204624,1.0,192692,0.9416881695206818,1.0,114605,0.5600760419110172,0.594757436738422,0.594757436738422,1.0244404077529907,0.024146519601345062,204624,True,True,True,True,,True,True,True,True,True,0.8605073650315008,0.1535613352489139,0.046173061049529264,0.2993015457780902,0.28158594830090955,0.14581633210398498,0.14130500925811024,0.14243898027414084,0.06186046314098546,3.5990235715052195,0.9943391506864174,0.9999902859728639,1.0,0.058429119144432884,0.01148137874653815,0.15552988127222114,0.11575282798413573,0.07001552182914858,0.05245804032128001,0.055942103273061324,0.02429534675755237,4.637162173850449,0.9963540018149041,0.9999158117648201,1.0,0.02219005262370766,0.002209107926197214,0.06257198420161124,0.03841511503625884,0.037081098506165894,-0.008928090420186177,0.022560656378877567,0.009797968573461926,3.599023572961087,0.9949130877897108,1.0,1.0,0.006063938839361072,0.2711885110475123,0.03223161888308823,ok,
HxpKQynjfin,e1d49f9c53bf45ae98d0dd8fb613161a,e1d49f9c53bf45ae98d0dd8fb613161a_i1_3,1,3,/home/bgao491/Matterport3D/v1/scans/HxpKQynjfin/undistorted_color_images/e1d49f9c53bf45ae98d0dd8fb613161a_i1_3.jpg,/home/bgao491/Matterport3D/v1/scans/HxpKQynjfin/undistorted_depth_images/e1d49f9c53bf45ae98d0dd8fb613161a_d1_3.png,1024,1280,406,504,1.4171736824512482,1241280,0.947021484375,0.5851160287857056,-2.450360059738159,1.1784499883651733,True,204624,1.0,193749,0.9468537414965986,1.0,151169,0.738764758777074,0.7802311237735421,0.7802311237735421,1.0068557262420654,0.006832332815974951,204624,True,True,True,True,,True,True,True,True,True,0.8741272339575148,0.14002372916382436,0.028271117773746843,0.19480232235800266,0.1896851585075916,0.135674151958746,0.1301907959648214,0.1303258155871539,0.056599782559041766,3.818156827280861,0.9929741879350348,0.9994175367362722,1.0,0.05691176954807126,0.00538425313539222,0.08110693219515226,0.0746407712238079,0.06418834597062607,0.05282579971166465,0.054810561901434914,0.023803924583809807,3.646338770969971,0.987525779840165,1.0,1.0,0.027393312699463317,0.001894930346442269,0.04992047041605372,0.03750375670700935,0.03842727343264789,-0.004338569687523237,0.027438538920970076,0.01191640604486491,3.818156828279832,0.9954023266305749,1.0,1.0,0.005333889042958617,0.26927926018834114,0.033119161846116185,ok,
HxpKQynjfin,e1d49f9c53bf45ae98d0dd8fb613161a,e1d49f9c53bf45ae98d0dd8fb613161a_i1_4,1,4,/home/bgao491/Matterport3D/v1/scans/HxpKQynjfin/undistorted_color_images/e1d49f9c53bf45ae98d0dd8fb613161a_i1_4.jpg,/home/bgao491/Matterport3D/v1/scans/HxpKQynjfin/undistorted_depth_images/e1d49f9c53bf45ae98d0dd8fb613161a_d1_4.png,1024,1280,406,504,1.4171736824512482,1285444,0.9807159423828125,0.5875139832496643,-2.447809934616089,1.1784600019454956,True,204624,1.0,200693,0.9807891547423567,1.0,138742,0.6780338572210494,0.6913145949285725,0.6913145949285725,1.0172253847122192,0.022868741303682327,204624,True,True,True,True,,True,True,True,True,True,0.8882145611134931,0.18024651635472058,0.1019693302838898,0.48572093716879716,0.3990574463649256,0.22563990890510466,0.07446471076185378,0.17728294891444565,0.07699300644907986,21.299853366128456,0.7731989880539332,0.9054054474562875,0.9977027392869701,0.12432252929555158,0.08287522754570424,0.44894461454201745,0.2751755332156725,0.2252106232554203,0.005604883392845406,0.13405757741870317,0.058220466130260745,22.51408672570297,0.8438111656361538,0.9004554068477506,0.9653722760384739,0.09037955288661342,0.07390024023748111,0.42586357019338716,0.1881739208094965,0.21751132154551533,-0.04407720102546979,0.10293023983342835,0.04470203518063621,21.29985336809549,0.8741508770510423,0.9031416382199458,0.9664559482949082,0.0062856669537723064,0.2596452748402953,0.033002763986587524,ok,
HxpKQynjfin,e1d49f9c53bf45ae98d0dd8fb613161a,e1d49f9c53bf45ae98d0dd8fb613161a_i1_5,1,5,/home/bgao491/Matterport3D/v1/scans/HxpKQynjfin/undistorted_color_images/e1d49f9c53bf45ae98d0dd8fb613161a_i1_5.jpg,/home/bgao491/Matterport3D/v1/scans/HxpKQynjfin/undistorted_depth_images/e1d49f9c53bf45ae98d0dd8fb613161a_d1_5.png,1024,1280,406,504,1.4171736824512482,1152993,0.8796638488769531,0.5909209847450256,-2.4486100673675537,1.1784800291061401,True,204624,1.0,180132,0.8803072953319259,1.0,90431,0.44193740714676677,0.5020262918304355,0.5020262918304355,0.8995481729507446,0.12858691811561584,204624,True,True,True,True,,True,True,True,True,True,0.7045626178562046,0.4776663308951365,0.3413727779450311,0.8690147015900027,0.6414655952262823,0.5089140717083745,0.08690537803675244,0.46269673369156133,0.20094663823690356,50.1438917168468,0.22549920077572022,0.3685217516498366,0.7983031987184658,0.6818665342314768,0.9213105609564932,1.1040125001080734,0.7880458666980041,0.6759993689410101,0.10562156012233792,0.542641331530578,0.23566613593636312,66.76969618367058,0.2812948560832546,0.4331804269410135,0.609666320610793,0.27426025157923767,0.35500816737607815,1.0352771321059286,0.5943486460331667,0.5663510460910421,-0.2632727099267912,0.38225054074385845,0.16600930054959173,50.14389171337037,0.6982913165994936,0.7393279924509516,0.742484993404123,0.006644827080890536,0.27387443580664694,0.03194999205879867,ok,
HxpKQynjfin,e1d49f9c53bf45ae98d0dd8fb613161a,e1d49f9c53bf45ae98d0dd8fb613161a_i2_0,2,0,/home/bgao491/Matterport3D/v1/scans/HxpKQynjfin/undistorted_color_images/e1d49f9c53bf45ae98d0dd8fb613161a_i2_0.jpg,/home/bgao491/Matterport3D/v1/scans/HxpKQynjfin/undistorted_depth_images/e1d49f9c53bf45ae98d0dd8fb613161a_d2_0.png,1024,1280,406,504,1.415534420410792,1222609,0.9327766418457031,0.6025609970092773,-2.454479932785034,1.2117700576782227,True,204624,1.0,190639,0.9316551333176949,1.0,157710,0.7707307060755336,0.827270390633606,0.827270390633606,1.0184038877487183,0.02203977108001709,204624,True,True,True,True,,True,True,True,True,True,0.9869710788743005,0.036921609345200244,0.002758869051028374,0.05903080466309232,0.041175456474043796,0.04895998974954666,0.02784158253119619,0.03583566009163378,0.015563229433157133,4.027315332121766,0.9988328239036356,0.9998887624743479,1.0,0.06102440794767817,0.008606804875452937,0.12830498285371902,0.09336674044576342,0.06743438221343945,0.05763433771735473,0.05868315351857411,0.025485769753798126,3.5009698947436565,0.9971094601790106,0.999156721404799,1.0,0.03225397172660043,0.002314344410567581,0.05823613205312499,0.03936482619279194,0.04288137871640846,0.014727041934530448,0.03161392122711724,0.013729751540261102,4.027315329693753,0.9988892605894444,0.9999141180868127,1.0,0.009450162993744016,0.2729583589825779,0.032549805007874966,ok,
HxpKQynjfin,e1d49f9c53bf45ae98d0dd8fb613161a,e1d49f9c53bf45ae98d0dd8fb613161a_i2_1,2,1,/home/bgao491/Matterport3D/v1/scans/HxpKQynjfin/undistorted_color_images/e1d49f9c53bf45ae98d0dd8fb613161a_i2_1.jpg,/home/bgao491/Matterport3D/v1/scans/HxpKQynjfin/undistorted_depth_images/e1d49f9c53bf45ae98d0dd8fb613161a_d2_1.png,1024,1280,406,504,1.415534420410792,1208013,0.9216407775878906,0.5925920009613037,-2.4650800228118896,1.2117400169372559,True,204624,1.0,188409,0.920757095941825,1.0,125653,0.6140677535381969,0.6669161239643542,0.6669161239643542,1.0342549085617065,0.033684615045785904,204624,True,True,True,True,,True,True,True,True,True,0.8815822219246823,0.1873566198031942,0.06531628234112492,0.31889535903427046,0.2828325160211991,0.1958040130568442,0.1321918503525805,0.17268187883631156,0.07499478710329603,14.444558224302249,0.7330823426569085,0.9863403787873144,0.9958344819136881,0.15345980634417283,0.05821210261293887,0.30347026657735643,0.23846612922764063,0.18599407998575374,0.09181077412786244,0.14485848285796812,0.06291123976209236,16.175468940277923,0.8415505462275654,0.9766409798570048,0.99257872224885,0.07800318987718607,0.026977848242473176,0.200812209831839,0.10628330279491663,0.14457665105124182,0.0061548196320261785,0.07905620327861784,0.034333672844125494,14.444558222559031,0.9152939579292607,0.9568638748092942,0.9999975165830169,0.006963788066059351,0.2717434340156615,0.024927073158323765,ok,
HxpKQynjfin,e1d49f9c53bf45ae98d0dd8fb613161a,e1d49f9c53bf45ae98d0dd8fb613161a_i2_2,2,2,/home/bgao491/Matterport3D/v1/scans/HxpKQynjfin/undistorted_color_images/e1d49f9c53bf45ae98d0dd8fb613161a_i2_2.jpg,/home/bgao491/Matterport3D/v1/scans/HxpKQynjfin/undistorted_depth_images/e1d49f9c53bf45ae98d0dd8fb613161a_d2_2.png,1024,1280,406,504,1.415534420410792,1217820,0.9291229248046875,0.5784289836883545,-2.461750030517578,1.2116800546646118,True,204624,1.0,190018,0.9286202986941903,1.0,38747,0.18935706466494645,0.20391226094370007,0.20391226094370007,1.3430235385894775,0.2949233949184418,204624,True,True,True,True,,True,True,True,True,True,0.9435802733972927,0.09256579797288143,0.02380220628227246,0.18523885465804407,0.1202431844252658,0.13405183100768023,0.048906417666466445,0.09137489273714887,0.039683611700245265,12.481208157684415,0.9300725887241136,0.9785920743623853,0.9988348031728826,0.1351498761058055,0.03511415795425879,0.22654416421672818,0.17706012496161658,0.16151571661369324,0.08467021465676058,0.13139763987764166,0.05706526993397047,13.754374381705968,0.9222676586030776,0.966837463664581,0.9995549424381271,0.05483107221585697,0.018520324292625807,0.16717422453785452,0.0725424773955012,0.12514830146885533,-0.009167423441736534,0.057683061770124014,0.025051435426049293,12.481208157858516,0.935798393851308,0.9620855298812633,0.9999901463270434,0.005676412954926491,0.27743899589404464,0.03347990312613547,ok,
HxpKQynjfin,e1d49f9c53bf45ae98d0dd8fb613161a,e1d49f9c53bf45ae98d0dd8fb613161a_i2_3,2,3,/home/bgao491/Matterport3D/v1/scans/HxpKQynjfin/undistorted_color_images/e1d49f9c53bf45ae98d0dd8fb613161a_i2_3.jpg,/home/bgao491/Matterport3D/v1/scans/HxpKQynjfin/undistorted_depth_images/e1d49f9c53bf45ae98d0dd8fb613161a_d2_3.png,1024,1280,406,504,1.415534420410792,1206548,0.9205230712890625,0.5742350220680237,-2.447819948196411,1.2116600275039673,True,204624,1.0,188270,0.9200778012354367,1.0,56930,0.2782176088826335,0.3023848727890795,0.3023848727890795,1.261889934539795,0.23261049389839172,204624,True,True,True,True,,True,True,True,True,True,0.9417092772211515,0.0679432214685928,0.008742022185086256,0.10613841672203232,0.08439741514009431,0.0776433659643927,0.06350431414901345,0.06482177907638452,0.028151740960025443,4.467319512575773,0.9877667527524806,0.9989731034322712,1.0,0.07743175216611142,0.00979637369384541,0.11082200315762575,0.09380226714992104,0.08466821769323057,0.07126639562526119,0.0738343456682954,0.03206584889867796,4.5714417221835335,0.9918718525910283,0.9999958559460543,1.0,0.0279961094793107,0.0027549061360503187,0.058172593556420404,0.03458566301783586,0.0448058791715384,0.00344564216763297,0.027462165703422015,0.011926667026108917,4.467319507699363,0.9915975162198272,0.9997811939516704,1.0,0.006083433050662279,0.27324542799033225,0.02485037501901388,ok,
HxpKQynjfin,e1d49f9c53bf45ae98d0dd8fb613161a,e1d49f9c53bf45ae98d0dd8fb613161a_i2_4,2,4,/home/bgao491/Matterport3D/v1/scans/HxpKQynjfin/undistorted_color_images/e1d49f9c53bf45ae98d0dd8fb613161a_i2_4.jpg,/home/bgao491/Matterport3D/v1/scans/HxpKQynjfin/undistorted_depth_images/e1d49f9c53bf45ae98d0dd8fb613161a_d2_4.png,1024,1280,406,504,1.415534420410792,1223454,0.9334213256835937,0.5842040181159973,-2.4372200965881348,1.2116999626159668,True,204624,1.0,190906,0.9329599655954336,1.0,97024,0.47415747908358746,0.5082291808534043,0.5082291808534043,1.0497047901153564,0.04850897192955017,204624,True,True,True,True,,True,True,True,True,True,0.9470028075436634,0.06022514450954146,0.013422941313022244,0.14452004728690432,0.096384984448015,0.07762514008634866,0.05492791586452844,0.05677133727598053,0.02465547850922675,5.485058278819413,0.9884768859311425,0.9968956740506795,0.9986399161717564,0.0608152705894032,0.012057505293968927,0.1433422542334552,0.09849799725290664,0.0766861303257748,0.05708351050366539,0.05760143598118101,0.025015985796330346,5.120776711515197,0.9887768563427803,0.9965523836613391,0.9992962547018523,0.025418686098119682,0.006761617001869401,0.09213776718225114,0.03647311188270023,0.05485263706648968,0.0004747164608465683,0.02408831195445244,0.010461420960182835,5.485058283582625,0.9909150650535288,0.9971228995940999,0.9986758799268302,0.005833208095282316,0.28179782489314675,0.029612571001052856,ok,
